Name,Phone Number
El Boricua,(787) 829-1956
"Lechonera La Playita, Adjuntas",(787) 829-5566
Lucy's Pizza,(787) 829-1555
Hacienda Maribó,(787) 202-4305
El Escondite de Don Julio,(787) 374-7944
Coco's Pizza Adjuntas,(787) 829-3440
Sea Food Café,(939) 402-3408
Burger King,(787) 829-3037
Mei Wei,(787) 829-6900
Melo's BBQ,(787) 829-4780
Rest. Las Cabañas,(787) 829-4924
Sun Hill’s Fried Chicken,(787) 829-1952
Ezencia Gastro Bar,(787) 212-7304
Star Light,(787) 415-0438
La Bellota,(787) 829-4891
Lechonera Los Pichones/ Agrocentro Los Pichones,(787) 829-1000
Pinchos Factory Smokehouse,(787) 204-7012
Tierra del Frío,(939) 254-5122
AGAVE,(787) 472-7164
Restaurante Vista al Río,(787) 829-2705
Monti,(787) 829-0896
El RincónTaco,(939) 278-4186
Papalandia,(939) 413-6650
Pizzalta,(787) 646-1000
Cantina La Curva,(787) 315-7150
Hacienda Tres Ángeles,(787) 360-0019
Sweet And Frozen,(787) 601-0827
Robles Bakery,(787) 829-0605
Re-creos Coffee Shop,(787) 829-5172
Farci Burger,(939) 405-8047
Panaderia Sancho,(787) 829-3102
Bufet 9 $ Hotel Monte Rio En Adjuntas,(787) 829-3705
Bajo las Estrellas Hotel,(787) 665-0297
Colmado ferra,(787) 202-1912
Go Destiny Cafe Lago,(787) 829-3232
Las Tablas Gastro Bar,(787) 444-6583
Sabor Nativo,(939) 494-5105
Mr.Potato,(787) 929-5862
Sandra Farms Coffee,(787) 409-8083
MI FINCA COFFEE SHOP,(787) 381-2731
El Tóxico de las picaderas,(787) 808-3160
Deleite Bakery & Coffee House,(939) 610-2584
Cafetería Miríam 2,(787) 829-4119
Café de Puta Madre,(787) 436-2026
La Casona Restaurant,(787) 828-3346
Cafetería La Yoyi,(787) 829-1905
La Fiebre Burguer and Hot Dog,(787) 247-1152
KAMPESTRE,(787) 665-0290
Hijos del Josco,(787) 201-1218
El Jibarito,(787) 725-8375
Cocina Abierta,(787) 946-1333
Restaurante Casa Emilio,(787) 754-8481
Casita Miramar,(787) 631-8265
Deaverdura,(787) 725-5513
Taster's Place,(787) 721-1216
Bebo's BBQ,(787) 791-7115
Carabalí Bar & Grill,(787) 355-0773
Bacoa Finca + Fogón,(939) 342-4691
Eter Rooftop & Lounge,(787) 998-1176
Sirena Oceanfront Restaurant,(787) 791-0404
1919 Restaurant,(787) 724-1919
El Fogón,(787) 858-6201
Vaca Brava - Old San Juan,(787) 481-8905
El Gigante Dormido,(787) 640-7889
Patio del Níspero,(787) 723-9020
Bocaíto Restaurant,(787) 807-1346
El Nuevo Acuario,(787) 662-8258
Pasta y Queso,(787) 956-4134
Lechonera El Rancho Original,(787) 747-7296
Roka Dura,(787) 593-3098
La Braza Smokehouse,(787) 965-9292
El Rancho de Apa,(787) 789-4706
Casa Vieja,(939) 777-8597
Encanto Beach Club Bar & Grill,(787) 626-1053
The Beach House,(787) 235-2531
La Manada Ribs V8,(787) 644-3000
MarBella Beach Club & Restaurant,(787) 674-7168
Bori Bräu @ Casa Bavaria,(787) 862-7818
Lechones To Go,(787) 380-5183
Lechonera Rancho T,(787) 201-8148
Sofia's Old San Juan,(787) 727-6161
Cafetería Mallorca,(787) 724-4607
El Sartén de Fary,(939) 904-8878
Kiosko La Comay,(787) 876-2456
Panakeia,(787) 605-1919
Rest. New China,(787) 956-0888
Paros Restaurant,(787) 809-8110
Descorche Bar & Grill,(939) 212-3155
Deliciosa China,(787) 294-8888
Creole Mofongo y Algo Mas,(939) 544-5037
Subway,(787) 897-4385
Prime 787,(787) 657-1234
Sabores,(787) 918-0787
Positivo Sand Bar,(787) 278-7231
El Grand Marnier Restaurant,(787) 252-1313
The Riverside Castle,(787) 252-2495
El Galeón,(787) 868-1940
Carne Mía Restaurant,(787) 246-1914
GrandMa Steak House & Restaurant,(787) 868-4206
Guayabo's Tropical Sunset,(787) 280-8444
Sartén Criollo,(787) 868-5295
Ajibarao,(939) 224-2771
Parada Típica,(787) 868-4906
Olajas Bar,(787) 629-4770
Mimosa Brunch Farm To Table,(787) 605-3782
El Rincón del Sabor Restaurant,(787) 252-3366
El Nuevo Oasis,(787) 252-0499
The fish Ocean Grill,(939) 464-3474
Ocean Boulevard,(787) 551-7561
Restaurante y Barra Rodríguez,(787) 252-6806
Dos Vistas Restaurant,(787) 316-8678
Mediterráneo Restobar,(787) 868-6868
Caribbean Seafood Restaurant Inc.,(787) 252-4300
Waves Seafood Restaurant Aguada,(787) 291-7133
Lucky Black,(787) 431-5323
La Borinqueña,(939) 228-0246
Platano Loco,(787) 252-1409
Black Goat,(787) 320-6335
Harbor Restaurant,(939) 222-1971
