Name,Phone Number
Rincon Beach Resort,(787) 589-9000
Legacy Inn & Suites,(480) 457-8181
Comfort Inn SeaWorld Area,(619) 543-9944
Executive Suites,(505) 830-0900
Courtyard Phoenix Mesa Gateway Airport,(480) 351-7088
Residence Inn Phoenix Mesa East,(480) 373-9000
Best Western Apache Junction Inn,(480) 982-9200
Residence Inn Phoenix Gilbert,(480) 699-4450
La Quinta Inn & Suites by Wyndham Mesa Superstition Springs,(480) 654-1970
"Country Inn & Suites by Radisson, Mesa, AZ",(480) 641-8000
Best Western Chula Vista/Otay Valley Hotel,(619) 422-2600
La Quinta Inn by Wyndham San Diego Chula Vista,(619) 361-8397
Hyatt Place Phoenix/Mesa,(480) 969-8200
Best Western InnSuites Phoenix Hotel & Suites,(602) 997-6285
Hampton Inn & Suites Phoenix East Mesa,(480) 654-4000
Sonesta Select Phoenix Camelback,(602) 955-5200
Best Western Superstition Springs Inn,(480) 641-1164
Bellagio Hotel & Casino,(888) 987-6667
Comfort Inn Fountain Hills - Scottsdale,(480) 837-5343
Homewood Suites by Hilton Phoenix-Biltmore,(602) 508-0937
AC Hotel Phoenix Biltmore,(602) 852-6500
Comfort Inn & Suites Surprise Near Sun City West,(480) 561-2838
Rodeway Inn Old Town Scottsdale,(480) 676-5351
Extend A Suites,(602) 993-8300
"Studio 6 Phoenix, AZ - Deer Valley",(602) 843-1151
"Motel 6 Phoenix, AZ - North Bell Road",(602) 993-2353
Best Western North Phoenix Hotel,(602) 395-0900
Extended Stay America - Phoenix - Biltmore,(602) 265-6800
Ayres Lodge Alpine,(619) 445-5800
Best Western Royal Sun Inn & Suites,(520) 622-8871
Best Western Plus La Mesa San Diego,(619) 466-0200
"Holiday Inn Express San Diego South-National City, an IHG Hotel",(619) 474-2400
SpringHill Suites Phoenix North,(602) 943-0010
Courtyard Phoenix North,(602) 944-7373
"Country Inn & Suites by Radisson, San Diego North, CA",(858) 291-1691
Courtyard San Diego Sorrento Valley,(858) 558-9600
Royal Delonix Hotel,(787) 339-2668
Fairfield Inn & Suites San Diego North/San Marcos,(760) 891-0111
Radisson Hotel El Paso Airport,(915) 224-2128
Best Western Plus El Paso Airport Hotel & Conference Center,(915) 778-6411
Best Western Escondido Hotel,(760) 740-1700
Melao Lodge,(787) 244-9552
Motel Molino Rojo,(787) 807-5500
Buena vista,099 164 882
Sol Casita,(332) 263-3377
Motel Acuario,(787) 638-7811
Hotel Costa de Oro Inn,(787) 851-5010
Mi Casa By 7 Beaches,(917) 882-8805
Hilton Garden Inn Shelton,(203) 447-1000
Hampton Inn & Suites Austin @ The University/Capitol,(512) 499-8881
Norwalk Inn,(203) 838-2000
La Bahía Guest House,(787) 232-0240
Best Western Plus Sweetwater Inn & Suites,(325) 236-6512
Whitten Inn,(325) 695-7700
"Avion Inn Near LGA Airport, Ascend Hotel Collection",(718) 957-0032
Circle Hotel Fairfield,(203) 255-0491
La Quinta Inn & Suites by Wyndham Abilene Mall,(325) 238-4185
Best Western The Inn at the Fairgrounds,(315) 484-0044
Big Country Hotel & Suites,(325) 690-6400
"Holiday Inn Express & Suites Milford, an IHG Hotel",(203) 877-9411
Hyatt Place Milford / New Haven,(203) 877-9800
"Holiday Inn Express & Suites Austin Downtown - University, an IHG Hotel",(512) 474-8600
Drury Inn & Suites Birmingham Lakeshore Drive,(205) 940-9500
Best Western Plus Fairfield Hotel,(203) 659-2200
Hotel ZaZa Dallas Uptown,(214) 468-8399
Hilton Garden Inn Milford,(203) 783-9988
Hotel El Faro,(787) 882-8000
Best Western Plus Greenville I-385 Inn & Suites,(864) 288-6221
