Name,Phone Number
Hydra,(787) 390-6982
Antro Nightclub,(623) 688-5009
Club Luxx,(602) 691-7226
Xantolo Night Club,(480) 740-5446
Karamba Nightclub,(602) 254-0231
Glow Tempe,(480) 329-4090
Thundercat Lounge,(602) 789-3600
Riot House,(480) 935-5910
Bar Smith,(602) 518-6263
TwentyThree01 Sports Bar,(602) 989-9831
The Forum Lounge,(480) 670-3320
La Boom Night Club,(623) 205-8947
Santa Fe Night Club,(602) 516-3043
Club 54 Lounge,(626) 807-3472
Club 80's Bar and Grill,(951) 603-3512
CLUB db LOUNGE,(562) 861-1112
Sevilla Nightclub of Long Beach,(562) 243-3015
Totally 80's Bar and Grille,(714) 879-0108
Rumba Room Live,(657) 999-7900
That 80's Bar,(909) 626-9091
Hollywood Club Crawl,(323) 667-6282
Station1640,(323) 464-2065
Pretty Please Lounge,(480) 621-9252
Blue Martini,(480) 638-2583
Boycott Bar,(602) 825-6240
Bikini Lounge,(602) 252-0472
Cake Nightclub,(480) 708-3507
El Tenampa Bar Nightclub,(602) 348-5855
Frozen G Spot @ La Parguera,(939) 252-3038
Balcones Nightclub,(787) 362-0935
El Kalua's Night Club,(323) 587-1922
Dierks Bentley's Whiskey Row,(480) 945-4200
AV BAR & NIGHTCLUB,(909) 866-7377
340 Restaurant & Nightclub,(909) 865-9340
Oficina Night club,(760) 261-4188
Misty's Lounge,(909) 418-4872
Club Exchange,(787) 832-2139
Desert Ridge Stage,(480) 513-7586
The Cash Nightclub & Lounge,(602) 244-9943
Club Classico Phoenix,(602) 732-8050
Surge Nights,(602) 691-7253
El Capri,(602) 244-0551
"KP4NET - LARES NET CLUB, INC.",(787) 241-6139
Paradise Bakery,(787) 897-1822
El Maná Bakery,(787) 897-6883
El Cafecito,(787) 239-0544
Bargain City,(787) 897-3600
111 Master Billiards,(787) 409-2092
Supermercado Econo,(787) 897-2623
Supermercado Mr. Special,(787) 897-2656
El sabrozon II,(939) 251-1628
Lissy’s Nutrition,(939) 289-9172
Paraíso La Placita,(787) 397-6387
Aby's Nutrition Club,(787) 452-0976
Rincón Yacht Club / Club Nautico de Rincón,(787) 551-3260
Rincon Surf Club,(787) 360-7562
Green Zone Smoke Shop,(787) 823-0425
Casa Verde Hotel,(787) 823-5600
El Varadero's Pub,(939) 699-6091
El Chalet,(787) 609-6635
Hacienda Andares Club,(787) 602-1567
Cuchis Beach Bar,(787) 408-5559
Timber & Blues,(787) 318-4968
Fratelli Bar,(787) 877-5932
Happyhour Sport Bar,(787) 215-7353
HVGO,(615) 993-7328
Wellness Club,(787) 370-5702
Manta Beach Bar,(787) 232-2806
Club de la Policía Camaseyes,(787) 629-5458
Ela's Bar,(787) 624-6677
Allure NailsByN,(321) 337-2949
Buffalo Billy's Sports Bar.,(787) 882-3201
Club Domino Malpaso,(787) 291-3412
El Rincon Sport Bar,(787) 325-1901
Melvin's Sport Bar,(787) 397-8723
Alcazar Night Club,(787) 487-1576
La Grifería,(787) 214-0373
Club BJ Aguadilla,(787) 233-9397
Punta Borinquen Golf Club,(939) 224-9315
Maria's Bar & Grill,(787) 629-9277
Jaicoa Shooting Club,(787) 646-2962
Ángeles (LaPelualife) Martínez Salón,(787) 402-2051
Groom Club,(787) 819-4766
"D-club, Fitness & Nutrition (Herbalife)",(787) 590-1259
Nachos Pool Bar & Lounge,(787) 241-1432
Atlantic Boxing Club,(939) 498-0295
Courtyard Aguadilla,(787) 658-8000
Power Life Nutrition,(787) 454-1582
Happy Belly’s Bar & Grill,(787) 397-1901
El Taller Speakeasy,(787) 431-3110
Coco's Inches,(787) 929-9086
PRX Club,(484) 664-0516
Club Salud Exitosa (Protein Bar Herbalife),(787) 486-9093
MIX CLUB,(939) 732-0022
W Social Club,(787) 923-7167
Parador Maunacaribe,(787) 861-3330
¡Ay Bendito! Play Bar,(787) 398-6211
401 BAR & GRILL,(939) 945-8254
Club 77,(787) 758-9160
Dorado Beach Resort & Club,(787) 626-1001
El Patio Fusion Lounge,(787) 777-1151
Blue Seahorse Pool Bar & Grill,(787) 796-6125
Hyatt Vacation Club at Hacienda del Mar,(787) 796-3000
"Dorado Beach, a Ritz-Carlton Reserve",(787) 626-1100
20 Aki Sportbar,(787) 460-4973
Healthy spot 646,(787) 210-2265
Youth House,(787) 796-0612
Sweet Nutrition Club,(939) 232-9292
The Clubhouse Bar & Grill,(787) 780-0908
El Rincon De JO-C,(787) 446-0415
Embassy Suites by Hilton Dorado del Mar Beach Resort,(787) 796-6125
Club Rustic Nutrition,(939) 226-8664
Blue Dolphin Casino Dorado,(787) 985-2223
The Ritz Carlton Reserve SPA Botánico,(787) 278-7227
Dorado Beach East Golf Course,(787) 626-1001
Dorado Beach Plantation Resort Residences,(787) 626-1001
El Húcar,(787) 967-4689
The Village Hostel,(787) 348-0414
Lenel Oldies,(787) 815-8400
Arecibo Livewell Club,(787) 378-0350
Tintineo Vinoteca,(787) 238-4633
