Name,Website,Emails
"Lechonera La Playita, Adjuntas",http://lechoneraspr.com/adjuntas/la-playita.html,
Lucy's Pizza,https://pizzeriaspr.com/adjuntas/lucys-pizza-adjuntas.html,
Hacienda Maribó,https://www.facebook.com/MariBorestaurante/,
El Escondite de Don Julio,https://m.facebook.com/ElEsconditedeDonJulio/?_se_imp=0kT75T8XTn9j9aLA9,
Coco's Pizza Adjuntas,https://www.facebook.com/pizerriaiveycoco,
"Lechonera La Playita, Adjuntas",http://lechoneraspr.com/adjuntas/la-playita.html,
Lucy's Pizza,https://pizzeriaspr.com/adjuntas/lucys-pizza-adjuntas.html,
Hacienda Maribó,https://www.facebook.com/MariBorestaurante/,
El Escondite de Don Julio,https://m.facebook.com/ElEsconditedeDonJulio/?_se_imp=0kT75T8XTn9j9aLA9,
Coco's Pizza Adjuntas,https://www.facebook.com/pizerriaiveycoco,
Burger King,http://www.burgerkingpr.com/,
El Campo Es Leña,https://www.facebook.com/elcampoeslena,
Star Light,https://www.facebook.com/Starlightadjuntaspr?mibextid=LQQJ4d,
Pinchos Factory Smokehouse,https://pinchos-factory-smokehouse.negocio.site/?utm_source=gmb&utm_medium=referral,
Pizzalta,https://www.facebook.com/pizzaltapr/,
Hacienda Tres Ángeles,http://haciendatresangeles.com/,
Re-creos Coffee Shop,https://instagram.com/re_creos,
Farci Burger,https://farciburger.wixsite.com/farciburger,
Go Destiny Cafe Lago,http://www.facebook.com/godestinycafepr,
Sandra Farms Coffee,http://www.sandrafarms.com/,
MI FINCA COFFEE SHOP,https://www.facebook.com/profile.php?id=100057379962593,
Cafetería Miríam 2,https://www.facebook.com/CafeteriaMiriam2?mibextid=JRoKGi,
Café de Puta Madre,https://www.facebook.com/CafedePutaMadre,
La Casona Restaurant,https://www.facebook.com/lacasonarestjayuya,
Hijos del Josco,http://facebook.com/hijosdeljosco,
Cocina Abierta,https://www.cocinaabierta.net/,
Restaurante Casa Emilio,http://casaemiliorest.com/,
Casita Miramar,https://www.casita-miramar.com/,
Deaverdura,http://www.facebook.com/deaverdura,
Taster's Place,https://www.facebook.com/Tasters-Place-1389138698014602/?ref=hl,
Bebo's BBQ,http://www.bebosbbqpr.com/,
Bacoa Finca + Fogón,https://bacoapr.com/en/,
Eter Rooftop & Lounge,http://eterlounge.com/,
Sirena Oceanfront Restaurant,https://www.marriott.com/hotels/hotel-information/restaurant/sjuiv-courtyard-isla-verde-beach-resort/,
1919 Restaurant,https://www.condadovanderbilt.com/condado-1919-restaurant?utm_source=google-my-business&utm_medium=organic,
Vaca Brava - Old San Juan,http://facebook.com/vacabrava,
Bocaíto Restaurant,http://facebook.com/bocaitorestaurant,
Pasta y Queso,http://orderpastayqueso.com/,
Lechonera El Rancho Original,http://www.elranchooriginalpr.com/,
Roka Dura,https://www.facebook.com/rokadurapr/?notif_t=page_admin&notif_id=1480126184630870,
La Braza Smokehouse,https://m.facebook.com/labrazasmokehouse1/,
El Rancho de Apa,https://m.facebook.com/elranchodapa/,
Casa Vieja,http://linktr.ee/casaviejapr,
Encanto Beach Club Bar & Grill,https://www.doradobeach.com/restaurants/encanto-beach-grill,
The Beach House,https://www.beachhouserincon.com/,
La Manada Ribs V8,https://www.facebook.com/lamanadaribsv8/info?tab=page_info,
Bori Bräu @ Casa Bavaria,http://www.casabavaria.com/,
Lechones To Go,http://www.lechonestogo.com/,
Lechonera Rancho T,https://www.facebook.com/pages/Lechonera-Rancho-T-LaresPR/105102922896217,
Panakeia,https://m.facebook.com/panakeiajuicebar/,
Rest. New China,https://www.facebook.com/New-China-109900694909326/,
Paros Restaurant,https://www.ritzcarlton.com/en/hotels/china/macau/dining/lai-heen?scid=f2ae0541-1279-4f24-b197-a979c79310b0,
Descorche Bar & Grill,https://descorchepr.com/,
Subway,https://restaurantes.subway.com/subway-lares-57540,
Positivo Sand Bar,http://www.ritzcarlton.com/en/hotels/puerto-rico/dorado-beach/dining/positivo-sand-bar,
The Riverside Castle,http://www.facebook.com/profile.php?id=160369777325900,
GrandMa Steak House & Restaurant,https://m.facebook.com/grandmapr/#_=_,
