Name,Website,Emails
ONE9 Travel Center,https://locations.pilotflyingj.com/us/nm/gallup/3303-w-historic-hwy-66,
Love's Travel Stop,https://www.loves.com/locations/265,
QuikTrip,https://locations.quiktrip.com/az/casa-grande/2187-e-florence-blvd?utm_source=gmb&utm_medium=yext&y_source=1_Mzg4NTE3OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Pride Travel Center,https://locations.pilotflyingj.com/us/az/eloy/5240-s-sunland-gin-rd,
Pilot Travel Center,https://locations.pilotflyingj.com/us/az/eloy/619-south-sunshine-boulevard,
Love's Travel Stop,https://www.loves.com/locations/286,
Pilot Travel Center,https://locations.pilotflyingj.com/us/az/quartzsite/1201-west-main-street,
TotalEnergies Río Rosario,https://totalenergies.com.pr/,
Fry's Food And Drug,http://www.frysfood.com/stores/details/660/00607?cid=loc66000607_gmb,
Love's Travel Stop,https://www.loves.com/locations/835,
Bonus Fuel,https://www.goldengategas.com/location/golden-gate-fillmore/,
Puma Energy,http://www.pumaenergy.com/,
Ecomaxx,http://www.ecomaxxpr.com/,
Gulf,https://www.gasolinagulfpuertorico.com/,
Texaco,https://texacopuertorico.com/localizaciones/,
TotalEnergies Carretera 100,https://totalenergies.com.pr/,
TotalEnergies Combate,https://totalenergies.com.pr/,
Walmart Fuel Station,https://www.walmart.com/store/5828/,
TotalEnergies Palmas Altas,https://totalenergies.com.pr/,
Mobil,https://mobilfuelspr.com/,
Gulf,http://www.gasolinagulfpuertorico.com/,
TotalEnergies Garrochales,https://totalenergies.com.pr/,
Total Energies Talín Express,https://totalenergies.com.pr/,
Shell,https://find.shell.com/us/fuel/10007055-1673-w-highway-260/en_US,
Ecomaxx,https://ecomaxxpr.com/,
Shell & To Go Stores,http://www.togostores.com/,
Puma Energy,http://www.pumaenergy.com/,
TotalEnergies Calle Luna,https://totalenergies.com.pr/,
Mobil Gas Station,http://www.shell.com/,
Puma Energy,http://www.pumaenergy.com/,
Total Energies,https://totalenergies.com.pr/,
TotalEnergies Avenida Quilinchini,https://totalenergies.com.pr/,
Texaco,http://www.pumaenergy.com/,
Gulf,http://www.gasolinagulfpuertorico.com/,
TotalEnergies Barrio La Vázquez,https://totalenergies.com.pr/,
Rasor Road Services Shell Oil,https://find.shell.com/us/fuel/10060537-66150-rasor-rd/en_US,
Running Man Fuel,http://www.parkerpioneer.net/news/article_919571b8-df38-11e5-90d1-cbceb71c2ea8.html,
Roy's Motel & Cafe,https://visitamboy.com/,
Love's Travel Stop,https://www.loves.com/locations/831,
Mobil,http://www.shell.com/,
Phillips 66,https://www.phillips66gas.com/station/p66-bo.-factor-s-s-0000894002/?utm_source=G&utm_medium=local&utm_campaign=google-local&utm_source=G&utm_medium=local&utm_campaign=google-local,
Maverik,https://locations.maverik.com/az/bullhead-city/2612-desert-foothills-blvd,
Love's Country Store,https://www.loves.com/locations/9,
Pilot Travel Center,https://locations.pilotflyingj.com/us/nm/lordsburg/1124-east-motel-drive,
Mobil,https://mobilfuelspr.com/?utm_source=G&utm_medium=lpm&utm_campaign=parkland,
Pilot Travel Center,https://locations.pilotflyingj.com/us/az/lake-havasu-city/14750-az-95,
Love's Travel Stop,https://www.loves.com/locations/276,
Texaco,http://www.pumaenergy.com/,
Love's Travel Stop,https://www.loves.com/locations/460,
Pilot Travel Center,https://locations.pilotflyingj.com/us/ca/barstow/2591-commerce-parkway,
Total Energies,https://totalenergies.com.pr/,
Sinclair Gas Station,https://stations.sinclairoil.com/ut/bluff/161-e-main-st?utm_source=google&utm_medium=yext,
TotalEnergies Vista Azul,https://totalenergies.com.pr/,
Chevron,https://www.chevronwithtechron.com/station,
Shell,https://find.shell.com/us/fuel/10010571-478-e-main-st/en_US,
Sycuan Market,https://www.sycuan.com/sycuan-market/,
Horizon Fuel Center,https://horizonfuelcenter.com/careers/,
Shell,https://find.shell.com/us/fuel/12618318-3029-s-robertson-blvd/en_US,
Love's Truck Care,https://www.loves.com/locations/207,
Shell,https://find.shell.com/us/fuel/10065841-900-n-hill-st/en_US,
Shell,https://find.shell.com/us/fuel/10005847-12007-ventura-blvd/en_US,
Shell,https://find.shell.com/us/fuel/10007996-8500-w-pico-blvd/en_US,
Shell,https://find.shell.com/us/fuel/10008119-15401-w-sunset-blvd/en_US,
76,https://www.76.com/station/u76-a-n-c-service-inc-0000862180/?utm_source=G&utm_medium=local&utm_campaign=google-local&utm_source=G&utm_medium=local&utm_campaign=google-local,
United Oil,https://rocketstores.com/,
Chevron ExtraMile Los Angeles,https://www.chevronwithtechron.com/station,
ARCO,https://www.arco.com/en-us/southwest/find-a-station/,
Fry's Marketplace,https://www.frysfood.com/stores/grocery/az/mesa/greenfield-main/660/00611?cid=loc_66000611_gmb,
76,https://www.76.com/station/u76-dba-beverly-hills-union-76-0000892790/?utm_source=G&utm_medium=local&utm_campaign=google-local&utm_source=G&utm_medium=local&utm_campaign=google-local,
Shell,https://find.shell.com/us/fuel/10008011-10564-w-pico-blvd/en_US,
TotalEnergies Tallaboa,https://totalenergies.com.pr/,
Gulf,http://www.gulfoil.com/,
Mobil Gas Station,http://www.shell.com/,
Mobil Gas Station,http://www.shell.com/,
Ecomaxx,http://www.ecomaxxpr.com/,
Gulf,http://www.gulfoil.com/,
Puma Energy,http://www.pumaenergy.com/,
Mobil Gas Station,http://www.shell.com/,
Ecomaxx,https://ecomaxxpr.com/,
TotalEnergies Muñoz Rivera 702,https://totalenergies.com.pr/,
TotalEnergies Adolfo Grana,https://totalenergies.com.pr/,
Ecomaxx,https://ecomaxxpr.com/,
TotalEnergies Muñoz Rivera,https://totalenergies.com.pr/,
