Name,Website,Emails
Milk and Honey Market of Phoenix,http://www.milkandhoneyphx.com/,
Skyline Liquor and Beer,http://skylinebroadway.com/,
BevMo!,https://www.bevmo.com/,
Total Wine & More,https://www.totalwine.com/store-info/arizona-tempe-tempe-marketplace/1010?cid=referral:website_link::momentfeed:1010_tempe_marketplace_store_details_page:,
Trevor's Liquor,https://www.trevors.com/,
Paradise Liquor,https://paradiseliquoraz.com/,
BevMo!,https://www.bevmo.com/,
Total Wine & More,https://www.totalwine.com/store-info/arizona-phoenix-camelback/1006?cid=referral:website_link::momentfeed:1006_camelback_store_details_page:,
BevMo!,https://www.bevmo.com/,
BevMo!,https://www.bevmo.com/,
Total Wine & More,https://www.totalwine.com/store-info/arizona-tucson-park-place-mall/1009?cid=referral:website_link::momentfeed:1009_tuscon_park_place_mall_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-glendale/1002?cid=referral:website_link::momentfeed:1002_glendale_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-tempe-emerald-center/1004?cid=referral:website_link::momentfeed:1004_tempe_emerald_center_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-scottsdale/1007?cid=referral:website_link::momentfeed:1007_scottsdale_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-gilbert/1005?cid=referral:website_link::momentfeed:1005_gilbert_store_details_page:,
BevMo!,https://www.bevmo.com/,
BevMo!,https://www.bevmo.com/,
BevMo!,https://www.bevmo.com/,
Total Wine & More,https://www.totalwine.com/store-info/arizona-goodyear/1008?cid=referral:website_link::momentfeed:1008_goodyear_store_details_page:,
Sunshine Market & Deli,http://sunshinemarket.shop/,
Total Wine & More,https://www.totalwine.com/store-info/arizona-surprise/1013?cid=referral:website_link::momentfeed:1013_surprise_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-tucson-the-corner/1001?cid=referral:website_link::momentfeed:1001_tuscon_the_corner_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-prescott/1012?cid=referral:website_link::momentfeed:1012_prescott_store_details_page:,
Total Wine & More,https://www.totalwine.com/store-info/arizona-queen-creek/1011?cid=referral:website_link::momentfeed:1011_queen_creek_store_details_page:,
Lloyd's Liquors,https://lloydsliquors.com/,
Walgreens,https://www.walgreens.com/locator/walgreens-3402+n+central+ave-phoenix-az-85012/id=3464,
Walmart Supercenter,https://www.walmart.com/store/2515-phoenix-az/,
Walmart Neighborhood Market,https://www.walmart.com/store/4293-phoenix-az/,
Walgreens,https://www.walgreens.com/locator/walgreens-375+w+continental+rd-green+valley-az-85622/id=5312,
Target,https://www.target.com/sl/phoenix-spectrum/2354,
Walmart Supercenter,https://www.walmart.com/store/5124-glendale-az/,
Walgreens,https://www.walgreens.com/locator/walgreens-925+w+baseline+rd-tempe-az-85283/id=2398,
Walmart Supercenter,https://www.walmart.com/store/2113-phoenix-az/,
Sam's Club,https://www.samsclub.com/club/phoenix-az-sams-club/6606,
