Name,Website,Emails
Hydra,http://www.hydralive.com/,
Karamba Nightclub,http://karambanightclub.com/,
Glow Tempe,https://www.facebook.com/GLOW-shots-cocktails-467823047127453/,
Thundercat Lounge,https://www.thundercatloungephx.com/,
Riot House,https://riothouse.com/,
Bar Smith,http://www.barsmithphoenix.com/,
TwentyThree01 Sports Bar,https://www.theforumcomplex.com/sportsbar,
The Forum Lounge,https://www.theforumcomplex.com/lounge,
Dwntwn,https://www.clubdwntwn.com/,
Club 54 Lounge,http://club54lounge.com/,
Club 80's Bar and Grill,http://www.club80sbar.com/,
CLUB db LOUNGE,http://www.clubdblounge.com/,
Sevilla Nightclub of Long Beach,https://sevillanightclub.com/long-beach/,
Totally 80's Bar and Grille,http://www.totally80sbar.com/,
Rumba Room Live,http://www.rumbaroomlive.com/,
That 80's Bar,http://www.that80sbar.com/,
Hollywood Club Crawl,http://www.hollywoodclubcrawl.com/,
Station1640,https://www.junglehollywood.com/,
Pretty Please Lounge,https://www.instagram.com/prettypleaseaz/,
Blue Martini,http://bluemartini.com/,
Boycott Bar,https://www.boycottbarphx.com/,
Cake Nightclub,http://www.cakenightclub.com/,
Frozen G Spot @ La Parguera,https://www.facebook.com/FrozenGSpot?mibextid=LQQJ4d,
El Kalua's Night Club,https://m.facebook.com/pages/El-Kaluas-Night-Club/111698712195423,
Dierks Bentley's Whiskey Row,https://dierkswhiskeyrow.com/scottsdale-az/,
AV BAR & NIGHTCLUB,http://www.avbigbear.com/,
340 Restaurant & Nightclub,http://340nightclub.com/,
Misty's Lounge,http://www.mistyslounge.net/,
Vive 680,https://www.instagram.com/vive680mayaguez/?hl=en,
Desert Ridge Stage,http://shopdesertridge.com/directory/amenities/the-district-stage/,
Club Classico Phoenix,http://www.classicophx.online/,
Surge Nights,http://www.surgenights.com/,
El Capri,http://www.elcapriboletos.com/,
"KP4NET - LARES NET CLUB, INC.",http://www.qrz.com/db/KP4NET,
Bargain City,http://www.bargaincitypr.com/,
La Respuesta,http://www.larespuestasanturce.com/,
Supermercado Econo,http://www.superecono.com/,
Tulum La Placita,http://www.tulumlaplacita.com/,
Supermercado Mr. Special,http://www.supermercadosmrspecial.com/,
Rincon Surf Club,http://www.rinconsurfclub.com/,
Lazy Parrot Inn,http://www.lazyparrot.com/,
Green Zone Smoke Shop,https://www.facebook.com/GreenZoneSmoke/,
Casa Verde Hotel,http://www.casaverdehotel.com/,
Hacienda Andares Club,https://m.facebook.com/HaciendasAguadilla/,
Timber & Blues,http://www.timberandblues.com/,
Fratelli Bar,http://www.facebook.com/fratellipub,
Wellness Club,https://m.facebook.com/wellnessclubj/,
Ela's Bar,https://www.facebook.com/PORQUEENELCAMPOSEPASAMEJOR/,
Finca & Fern Coffee Co. & Cocktail Lounge,https://www.fincafern.com/,
Allure NailsByN,https://allurenails.org/,
Buffalo Billy's Sports Bar.,https://m.facebook.com/pages/category/Sports-Bar/Buffalo-Billys-126384194078151/,
La Grifería,https://lagriferiapr.com/,
Club BJ Aguadilla,https://www.facebook.com/profile.php?id=100094251000946&mibextid=LQQJ4d,
Punta Borinquen Golf Club,https://www.puntaborinquengolfclub.org/,
Joker Sport Bar,https://m.facebook.com/jokersportbar/,
Jaicoa Shooting Club,https://www.facebook.com/jaicoa.club/,
Groom Club,http://www.groomclubpr.com/,
"D-club, Fitness & Nutrition (Herbalife)",https://dpolett.goherbalife.com/Loyalty/Spa/Index/es-PR/?fs=e&s=cl#/loyaltyTerms,
Atlantic Boxing Club,https://www.facebook.com/AtlanticBoxingClub/,
Courtyard Aguadilla,https://www.marriott.com/en-us/hotels/bqncy-courtyard-aguadilla/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,
El Taller Speakeasy,http://facebook.com/losembrujados,
Coco's Inches,https://www.facebook.com/cocos.inches?mibextid=ZbWKwL,
PRX Club,http://www.linktr.ee/prxclub,
Club Salud Exitosa (Protein Bar Herbalife),https://exitosa.goherbalife.com/Catalog/Home/Index/es-PR,
14 Diez,http://www.14diez.com/,
Parador Maunacaribe,https://www.tropicalinnspr.com/,
Club 77,http://www.facebook.com/club77pr,
Dorado Beach Resort & Club,http://www.doradobeach.com/,
El Patio Fusion Lounge,http://www.elpatiofusionloungepr.com/,
Hyatt Vacation Club at Hacienda del Mar,https://www.hyatt.com/en-US/hotel/puerto-rico/hyatt-vacation-club-at-hacienda-del-mar/hacsh?src=corp_lclb_google_seo_hacsh&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,
"Dorado Beach, a Ritz-Carlton Reserve",https://www.ritzcarlton.com/en/hotels/sjudo-dorado-beach-a-ritz-carlton-reserve/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,
Dorado Reef Club Pool,https://goo.gl/maps/coiSR9eJE9v,
The Clubhouse Bar & Grill,https://www.facebook.com/profile.php?id=100063452537938,
Embassy Suites by Hilton Dorado del Mar Beach Resort,https://www.hilton.com/en/hotels/dorpres-embassy-suites-dorado-del-mar-beach-resort/?SEO_id=GMB-AMER-ES-DORPRES&y_source=1_MTIxNjk1NTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Blue Dolphin Casino Dorado,https://www.facebook.com/bluedolphincasinodorado,
The Ritz Carlton Reserve SPA Botánico,https://www.ritzcarlton.com/en/hotels/puerto-rico/dorado-beach/spa-botanico,
