Name,Address,Rating,User Ratings Total,Place ID,Phone Number,International Phone Number,Website,Opening Hours,Price Level,Business Status,Vicinity,Plus Code,Address Components,Reviews
Pronto Fina Food Market,"2424 E E Hwy 66, Gallup, NM 87301, USA",3.9,101,,(505) 863-3380,+1 505-863-3380,,,,OPERATIONAL,"2424 E East Highway 66, Gallup",857HG7HW+J8,2424 E (street_number); East Highway 66 (route); Gallup (locality); McKinley County (administrative_area_level_2); New Mexico (administrative_area_level_1); United States (country); 87301 (postal_code),"This place sucks! If I absolutely have to stop there then I will, but one morning I stopped there for coffee and that lady got upset because I didn’t want a cup coffee. I poured it down the drain to get the other one and she raised her voice, “said why did you go and that ?” I was like uh because I want the other coffee. “ now you have to pay for two cups!” She went to the mangers office and I waited in line and I left. Came back to pay later. Service sucks!; What was good about this station was even though it looks small they have 16 pumps that are located in different parts of the lot that allows easy access for most rigs. Be aware that pumps 12 through 16 are cash only as the card readers on these pumps do not work.; I went there this morning to purchase a food item, and they would not honor the price tagged.  I refused to purchase it and inform the clerk forger it and left. He still charged me for items without not receipt or product received.  He said he tried to catch me, I'm over 40 yo and I saw no attempts of him stopping me... Called him he tells me I have to talk to the manager and further advises me idk when the manager will be in?!?! Very poor customer service; Sometimes service is good but most times service is bad because I barely gave a ripped $20 to the clerk and he said he couldn't take torn bills and it wasn't even ripped or torn in half barely a cm but I guess it's still torn to him but money is still money and it wasn't coming out of his pockets unless it's him that is the owner of the store; the tall male cashier is so good and welcoming. he deserves to be praised for welcoming people and being happy always. place is clean."
ONE9 Travel Center,"3303 W Historic Hwy 66, Gallup, NM 87301, USA",2.9,46,,(505) 356-7565,+1 505-356-7565,https://locations.pilotflyingj.com/us/nm/gallup/3303-w-historic-hwy-66,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"3303 West Historic Highway 66, Gallup",857HG54F+GJ,3303 (street_number); West Historic Highway 66 (route); Gallup (locality); McKinley County (administrative_area_level_2); New Mexico (administrative_area_level_1); United States (country); 87301 (postal_code),"No Coffe ,No cups , no Creamer hot food over time staff don’t care about customers; The music sucks! I pulled in here to fill up my semi, and did so. But the whole time I had to listen to wretched Millennial music. Nothing but pointless, tuneless, breathy, meandering, whiny garbage. I'd rather listen to a dentist drill! In my own mouth than listen to this garbage. The last One 9 played classic rock or something similar, from the Golden Age of Music. It doesn't cost one cent more, and is timeless! Rather than meandering and tuneless.; First and last time I’ll stop in here. Ordered 4 chicken strips. Gal told me it would be cheaper to order 5. So I said ok. That plus a sweet tea from the cooler and my total was $14.94  that’s beyond absurd.; 08:20pm went in to grab something hot to eat. Poor selection of available hot sandwiches. Soup bar was pretty much non-existing. All 3 soup pots were empty. Only thing readily available was pizza or cold foods. Settled for a turkey wrap. Also the hallway leading to the restrooms and showers was freshly mopped. Wet floor sign was out but it looked as though no attempt was made to clean up the excess water on the floors. Looked more like someone took a 5 gallon bucket of water and dumped it in the hallway.; Update:This is not the first time we have stopped here, BUT we leave because there is LOUD MUSIC WHICH INTERFERES WITH RELAXING!!!
Update:You understand that the driver needs to get some rest, but you don't want to turn down the music for the night!  There's a queue for the shower!
Чистый ,просторный, уютный ,только выключайте музыку ночью ."
Love's Travel Stop,"5000 Sunland Gin Rd, Eloy, AZ 85131, USA",3.9,974,,(520) 423-2015,+1 520-423-2015,https://www.loves.com/locations/265,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"5000 Sunland Gin Road, Eloy",854CR84H+J6,5000 (street_number); Sunland Gin Road (route); Eloy (locality); Pinal County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85131 (postal_code),"This is the dirtiest Love’s I have ever been in. The floors were dirty when i walked in (about 3am). Shower #1 was like a sauna inside.   When I walked in, the heat hit me in the face. It was 80 degrees outside, and it felt cooler than this shower room.  It is sad you have to spend $18 on a dirty and hot shower room. I wouldn’t stop here if it were the last place on earth. Keep going down the road to the TA. It is actually much cleaner.; For having been renovated recently this location is still trash. The inside is still crowded and looks dusty and dirty. The showers have no ventilation or refrigerated air,  so you leave your shower all sweaty. The new wood grain tile recently installed is all black with a orange color mildew. The only positive part is the parking expansion unfortunately they didn't increase the number of showers.  You where better of building a new facility instead of trying to fix the current one.; Went over the road for a vacay. Missed the otr experience. Stopped here for a shower. Shower #2,was not exactly gleaming. Hey, the shower was hot.; The store itself is alright. Regular Love’s with decent restrooms and plenty of truck parking, sometimes you can find a few spots during the night (you can always go to the Petro if you are in a hurry for parking).

Verizon internet signal is not very good on the back spots.

The reason I give them 2 starts only is because during my visit today (10/02 at 1200) there were a CDL attorney insurance salespeople that were extremely annoying. The girl was asking for my ID, and when I told her i had it in the truck, she said she could follow me on the way out lol. I don’t know if Love’s itself is starting to do this, but this is such an uncomfortable experience and you can’t tell me the managers weren’t aware of this harassment.; Lots of parking, didn't bother going inside..."
QuikTrip,"2187 E Florence Blvd, Casa Grande, AZ 85122, USA",4.5,60,,(520) 413-6326,+1 520-413-6326,https://locations.quiktrip.com/az/casa-grande/2187-e-florence-blvd?utm_source=gmb&utm_medium=yext&y_source=1_Mzg4NTE3OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"2187 East Florence Boulevard, Casa Grande",854CV8H4+MR,2187 (street_number); East Florence Boulevard (route); Casa Grande (locality); Pinal County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85122 (postal_code),"Every Quick Trip store I have been in is always clean, including their restrooms. And most of the employees are friendly. I have only come across 2 that weren't pleasant. And their subs are so much better than subway could ever think of being. And try their grilled BLT with ham! I look for QT's to stop at. I hate circle K!; TERRIBLE, TERRIBLE, TERRIBLE  Three weeks ago , on a Monday, I get $60 gas and attempted to clean my windshield.  Water in container was nasty, smelly and had no soap. Spoke to manager.  His response was ""the weekend crew is kinda lazy""  and would you like me to clean your windshield.  NO, but can you try to remedy this problem.  Spoke to Chis in corporate office. He apologized and agreed to send me a $10 coupon so that  I will revisit the store again and advised he would speak to the proper people to correct this problem.  This Monday I spent $55 for gas and had the same problem.  Dirty, smelling water to clean my windshield.  Spoke to Ivan, a store manager who asked if he could clean my windshield.  NO again but fix your problem. Called corporate again.  They have not returned my phone call. Bottom line. If your EXPECTATION IS, to fill your gas tank and then have nasty water to clean your windshield, you will be happy.  Otherwise you will have the same disappointment I have had. Oh, did a mention I had a TERRIBLE experience at this QT on Florence Blvd.

Edit:  STILL waiting  for the call from corporate headquarters.; Went in for a few items on my long trip to tucson.  We always stop there to get gas and munchies.  We were grabbing a cpuple things and I decided to grab a couple lottery tickets, they have a machine but i couldn't get it working so went to the counter, Gabriel (his tag said he was an assistant manager) was so rude.  I asked if he knew if the lottery machine wasn't working abd he gave me a crappy look and shrugged his shoulders.  I said "" well I couldn't get it so can I get 2 powerballs"" he shot me a hateful look and turned around to get them but kinda placed his head so he could give me crappy looks some more and punched the buttons then slammed the cards down.  I guess punching 3 buttons is a chore for him.  I muttered  ""friendly"" and he walked over to help the next people.  Sorry Gabriel that you had to punch 2 buttons but you need to work on your customer service skills.  Rude; Great QT store, location is very nice with an abundance of parking and the usual friendly employees; Great store and great gas station. The store is large and very clean. They have tons of snacks, hot food items and beverages.
This is a great place to stop and get snacks and drinks before a road trip."
Pride Travel Center,"5240 Sunland Gin Rd, Eloy, AZ 85131, USA",3.7,100,,(520) 422-6903,+1 520-422-6903,https://locations.pilotflyingj.com/us/az/eloy/5240-s-sunland-gin-rd,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"5240 Sunland Gin Road, Eloy",854CR86H+P7,5240 (street_number); Sunland Gin Road (route); Eloy (locality); Pinal County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85131 (postal_code),"Enjoyed the manager's special at Subway, unique way to offer something different than the traditional Subway menu, and it was delicious. Also, employee actually used safety food gloves properly which was so awesome! She properly removed and replaced them with a new pair after every order was completed. Just like it is supposed to be done! Store is old, but it was very clean and service was great.; 1st time stopping here! Times are stuff! You blessed me with having /allowing a local church congregation(Compass Church,  Casa Grande, Az )to give out free 6inch subway subs, chips, and drink , 1 Bible, free, free, free,  I even ask them to pray with me openly and something I do not normally do.  Words cannot Express the love I felt from this act of kindness, feeding the physical,  and encouraging The Spirit to be fed""the WORD written upon your heart by reading, hearing, will last forever "".
I am just an independent owner Operator mc#062467  trying to make it through. On my own authority since December 2017, but total number of years driving since 1987 4 million miles, BLESSED by THE GRACE OF THE FATHER JEHOVAH ABOVE AND JESUS CHRIST'S REAL LOVE! I have been getting beat down by low rates the last 3 months battling for every cent. Please continue PRAYING for all the truckers that went to Washington DC May 1st- May 7th. Drawing attention to the need for steady rates and steady freight, STOP CHEAP RATES!  Like I shared this Small act of kindness gave me hope to fight another day. Currently under a Uber Freight load, 2303 loaded miles at $1.09 per mile, going broke pulling this cheap rate. Normal economics is at least 2 times the cost.  The cost is what you see here $1.09 per mile. Thanks for letting me serve and share this information and you are allowed to share it as well. WITHOUT TRUCKS AMERICA STOPS ROLLING!  I know we each play our part and I am thankful in fighting the good fight another day! GOD BLESS YOU ALL!; As a local, I can tell you they have the lowest gas prices in the area. If you ever want to deal with a Manager, Cruz Molina is top notch. He and his crew provide the most friendly customer service and the place feels clean. What more can you ask for?; Cruz was such an amazing help!!! i have never had better customer service. His trainee named Tony is already exceeding expectations. He obviously has an amazing trainer. Good job guys and thank you!; Be careful ya'll you'll only put 32 bucks worth of gas, and they'll put a 126 dollar hold on your card.  I hope it goes back onto my account soon."
Salome Market,"67230 US-60, Salome, AZ 85348, USA",4.1,32,,(928) 859-3445,+1 928-859-3445,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,,OPERATIONAL,"67230 U.S. 60, Salome",8558Q9PW+J2,67230 (street_number); U.S. 60 (route); Salome (locality); La Paz County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85348 (postal_code),"When you are traveling through the “Middle” this is place has everything. It is minutes away from my RV site. This is a local family owned establishment. The workers at this establishment are always ready to help.

Gas Station – Gas pumps work even if stores closed. There are not any EV chargers available.

Laundromat – It is located at the rear of the market. All machines operate only with quarters. You may ask the cashier to swap cash for quarters. Inside there is a ATM. The washing machines are three front loaders and work well. The sizes are as follows 60 lb.- $7.50, 40 lb. -$6, 22.5 lbs-$3.45. The two top loader machines are both 10 lb. -$1.50. The drying machines operate well. Though each quarter you put in the drying machine adds eight minutes. If you would like to partake in any smoking, feel free to use the 3 chairs outside.

Propane Area- The propane area is decorated with little yellow minions. They also have an attendant that runs Monday through Friday 9AM till 5 PM. To the front of the propane tank are many vacuum machines. So if you would like vacuum your dirty RV/ Rig/ automobiles.

Water machine- I fill up my 5 gallon water jug here because the water is sweet and not salty like the Walmart in Goodyear, AZ. Also, the water machine is outside the building. Anyone is able to refill water at any time.

Grocery store- First, I was happy to see they had a restroom for paying patrons. Well there are many different varieties of ice cream here. I was surprised the fresh scoop bluebell ice cream here was delicious. The Mexican Ice-cream on a stick was perfect as well. There are tubs Talenti, Häagen-Dazs, bluebell, blue bunny, bomb pop, and more. The were many fresh produces, dairy, bread, liquor, wine, beer, and a limited butcher shop. The only place in town with fresh meat let me add.

Please check out my photos!; Great local market with a small selection of fresh produce and meat. Hard to find produce elsewhere outside weekly farmer's market.  Staff is great. Pricing systems  have some errors compared to posted prices, so check your receipts. They take requests for special items for regular customers, so it's worth the occasional overcharge.; The laundry is filthy. Machines do not work and are not marked as out of order. None of these washers have been wiped. Dirt and debris in the tubs and the dispensers are gross.; I was surprised to see what this little market had to offer. They carried just about everything you would need so you wouldn't have to go to the big city. It was clean had a place to even get an ice cream cone.  Plenty of adult beverages and more.  Stop in and see for yourself. I was supposed and know you will be too.  I highly recommend this store. Plus in the back they have a little laundry mat.  Nice washers and dryers.; Most of the time good place to do business. The young lady with tattoos is not much of a people person. One of there help might beat you out of money. You just really have to watch yourself at times. I gave the 4 🌟 rating because overall it is a good place to shop."
Pilot Travel Center,"619 S Sunshine Blvd, Eloy, AZ 85131, USA",4.2,1622,,(520) 466-7550,+1 520-466-7550,https://locations.pilotflyingj.com/us/az/eloy/619-south-sunshine-boulevard,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"619 South Sunshine Boulevard, Eloy",854CPFQ2+C6,619 (street_number); South Sunshine Boulevard (route); Eloy (locality); Pinal County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85131 (postal_code),"Every single shower of all showers is empty and I was the only guest waiting. I asked them why I’m waiting they said showers are not clean and no body there to clean them. I mean is this a joke.; The most useless truck stop in the country.  Cashless for a truck stop off I-10 is like having a stapler that can only staple one sheet of paper.  I will never support a cashless business.   Everything we do does not need to be tracked.   If I want to buy a bottle of water I should not need to make a card transaction for $2.   If I see any other Pilots going this direction I will simply remove them from my stops.; Bad location for a shower, I’ve had this happen to me multiple times at this location. It’s horrible when you spend over 4k$ on fuel each month and can’t even get a shower.
Stores slow, sign says 4 people waiting for showers, in 30 minutes no one has left a shower,
I imagine every single shower is empty and needing to be cleaned from the previous night.
And to top it off, since it’s early, the store is slow.; Stupid, unprofessional people works here! As a professional driver, I have unlimited shower for this month, but cashier told that no shower because system shutdown. So what? You have a water, you have a keys, what a problem to open the door? Showers on Love's truckstops still working, another reason why pilot goes down; Great travel stop. The store is clean and has a lot of variety. Cinabon makes the store smell amazing."
Love's Travel Stop,"760 S Quartzsite Ave, Quartzsite, AZ 85346, USA",3.4,608,,(928) 927-8570,+1 928-927-8570,https://www.loves.com/locations/286,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"760 South Quartzsite Avenue, Quartzsite",8557MQ45+WF,760 (street_number); South Quartzsite Avenue (route); Quartzsite (locality); La Paz County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85346 (postal_code),"Horrible staff. I have been kicked off the property while trying to light a cigarette. The manager, a tall skinny shaven head lady, has been most rude and defamed my character. I do not loiter. I rest after walking in the heat. I have seen her outside more than inside managing. She has arbitrarily scanned items where I am sitting. Her staff always cleans the bathroom when I am in there. I saw a staff member peeking under the partition at another poor victim. I have spent over $20 in the last day. I've bought wifi and it SUCKS. The truckers harass with Jake brakes, low gears, and bright lights. It all stems from the merchant. I dream of saying you Loves and making you change your name. BTW, I a
m charged for every refill and for water as well. No water in over 100 degrees. Crime of moral turpitude. Quarantine this place until we find the cure of HATE, please before I start hating as well. God please give her a noisy neighbor for the rest of her life. Amen.
Note another guest loves to shine bright in my face as I stand on the other side of the road to write this. God give me serenity.; I am a Love’s lover: people I’m acquainted with make fun of me for that, especially my boss. I stop by love’s for all travel needs; they are usually fulfilled. I stopped by on May 31, 2023. Yes I got my fruit cups, but THE RESTROOMS WERE OUT OF ORDER— UNACCEPTABLE!!!! The sign did say it was a scheduled maintenance issue. The clean operational restrooms are major factors in my sky high expectations. With that maintenance issue, I would expect a Love’s to rent Porto-potties or something like that - NO THEY DIDN’T!!!!; If I could give it a negative star, I would!!  worst customer service out of all the loves I’ve been to! Employee was smoking out front and started walking in front of me(yes she saw me) to head back inside, never once held the door for just walked in to both doors, letting it close behind her, the other lady at least said welcome.

There was no hot food at all! Nothing on the rolling grills nothing only subway

I freaking HATE this location; Truck stop from Hell!!
We got there at 4pm needed 2 air bags.. first they never checked if they had in stock then they kept saying ""2. hours""  next day came they called 9 am if my driver was there and they said 2 hours. At 2 pm they still have not ordered air bags. Finely they find it at 4 am after 36 hours. They are worthless useless layers. Horrible people from mechanic to the tire people. I had to pay 1250 and waste 36hours.; I love Love’s! I was on a road trip and stopped here because they have a dog park with artificial grass. Dog park was a bit small but super clean! They have a picnic table and bench to sit down. They also had poop baggies to clean up."
Pilot Travel Center,"1201 W Main St, Quartzsite, AZ 85359, USA",4.1,2394,,(928) 927-7777,+1 928-927-7777,https://locations.pilotflyingj.com/us/az/quartzsite/1201-west-main-street,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,OPERATIONAL,"1201 West Main Street, Quartzsite",8557MQ67+J7,1201 (street_number); West Main Street (route); Quartzsite (locality); La Paz County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85359 (postal_code),"Stopped here on a road trip. Restrooms were super clean! Very large selection of drinks and snacks and warm food. Dog park was a really good size! There is a picnic bench right next to the dog park. There was a small section that wasn’t grass inside the dog park and they had poop baggies to pick up after the doggies.; GREAT STORE, GREAT CUSTOMER SERVICE,  CLEAN SHOWERS, UPDATED TO NOW A TACO BELL. THANK YOU. -~-SANTA; This used to be a favorite stop to fill up with snacks and gas before crossing into California. We stopped 5/24/24 but didn’t fill up since half the pumps were broken (seriously not exaggerating)! People were waiting on the working pumps so we went to the newly opened Terrible’s, which was an easy in and out.; The place is small but it does have around it's 8 showers very convenient parking lots open spots but not completely big, it does work it's comfortable that has a ""Cat scale"".  Around 8 pumps diesel and also has gas for cars. You can get some coffee & hot dogs. This is one definitely good place to come here and rest full day because it does have a Subway, McDonald's and also a Burger King nearby so I do recommend it even though it is small.; The reservation parking area is not very well laid out,  it is very difficult to maneuver into those parking spots even for an experienced driver.  I wish these types of places that serve semi trucks keep this big rigs and their maneuverations in mind when they are sketching out the layout plan.  Trucks drivers already go through enough just to drive or pick up loads from some piss poorly designed locations,  and for the one moment where they have to come and rest,  they continue to stay stressed all the way till they park and go off duty.  Why?  Why can't at least their designated safe havens be just that,  easy in,  easy out? That's my only complaint."
Ecomaxx,"00606, Maricao, 00606, Puerto Rico",4.3,40,,,,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,,OPERATIONAL,00606,77CM52JC+GG,Puerto Rico (country); Maricao (locality); Maricao (administrative_area_level_2); Maricao (administrative_area_level_1); 00606 (postal_code),"As nice as they are here on this island, the girls who were working here dropped the ball.  For as friendly as everyone is on this island, the girls working dropped the ball.  Too bad.; Unsurpassed friendliness, fast and quality service; It's excellent but there are drunks next door which damages it on that side.; If you want to inspect your car to obtain your tag, this is the right and safe place; Well organized.Clean.Good service."
