Name,Address,Rating,User Ratings Total,Place ID,Phone Number,International Phone Number,Website,Opening Hours,Price Level,Business Status,Vicinity,Plus Code,Address Components,Reviews
Fred's Market Liquor,"220 S Ola Vista, San Clemente, CA 92672, USA",4.5,104,,(949) 492-5465,+1 949-492-5465,,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 11:00 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 10:00 PM,,OPERATIONAL,"220 South Ola Vista, San Clemente",8554C9GP+29,220 (street_number); South Ola Vista (route); San Clemente (locality); Orange County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 92672 (postal_code); 4101 (postal_code_suffix),"Coldest beer in town, great wine selection and ice cream! I love the employees, they know me by name.; They have everything and everyone is kind and welcoming. Great beer selection; These guys are the best. Friendly and nice and if I was trying to set my mother with anyone, all these guys I'd be honored to call dad.; Great service and friendly 👍; This is a large store with a big selection of alcoholic and non-alcoholic beverages. Good prices as well!"
San Clemente Liquor,"1618 N El Camino Real, San Clemente, CA 92672, USA",4.3,28,,(949) 492-3831,+1 949-492-3831,http://bit.ly/ClementeLiquor,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 10:00 PM; Sunday: 8:00 AM – 9:00 PM,,OPERATIONAL,"1618 North El Camino Real, San Clemente",8554C9JC+XH,1618 (street_number); North El Camino Real (route); San Clemente (locality); Orange County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 92672 (postal_code); 4963 (postal_code_suffix),"The best liquor store by far in San Clemente.  The people working here are so nice, and always so eager to help.  Right next to my favorite restaurant and coffee place in San Clemente, they all have a good thing going down there!; Good prices and selection. Really nice staff. If you don't see it, ask for it, they can get just about anything for you.; Very clean and nice inside.  Good selection.  Chips, candy and snacks too.

The outside looks bad but the store is *****.; Nice people working there. The service is fast and friendly. It's clean and I feel safe going in there; Good costumer service, lots of drinks options.
Lax is a awesome guy. They always have good stock of my favorite drinks."
Liquor King,"141 E Imperial Hwy, La Habra, CA 90631, USA",4.2,52,,(714) 879-6223,+1 714-879-6223,,Monday: 7:45 AM – 11:00 PM; Tuesday: 7:30 AM – 11:00 PM; Wednesday: 7:30 AM – 11:00 PM; Thursday: 7:30 AM – 11:00 PM; Friday: 7:30 AM – 12:00 AM; Saturday: 7:30 AM – 12:00 AM; Sunday: 7:45 AM – 11:00 PM,,OPERATIONAL,"141 East Imperial Highway, La Habra",8554W393+4V,141 (street_number); East Imperial Highway (route); La Habra (locality); Orange County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 90631 (postal_code); 7315 (postal_code_suffix),"Friendly staff and good prices; I usually come here for my late night snacks (between 12-2am) and the owner is nice. The store has a lot of options too so you aren’t limited to what you find. Normally when you go in with a craving for something, you walk out with what you wanted (and maybe some extra sometimes).; Friendly staff... .. . I like going in and seeing 👀 the same gentleman help me everytime... .. . Even the lady there is absolutely 💯 nice... .. . Love my neighborhood liquor store... .. . (Sometimes there's shenanigans but what place nowadays doesn't... .. .) JUST IGNORE THEM and KEEP WALKING... .. .!!!; Liquor king is only good to buy beer. I bought dibs ice cream on 01/18/2020  and my dibs were expired on 9/2019. This is the 2nd time I buy expired stuff. Last year I bought aspirin and they were 2 years expired. If you buy food please just check the expiration date. Thank you 😊; The cashiers as well as the friendly owners are always very helpful in getting you what you need. Its certainly my Liquor Store of choice in La Habra."
Liquor Corral,"429 Monroe Ave, Buckeye, AZ 85326, USA",4.7,178,,(623) 386-5011,+1 623-386-5011,,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 11:00 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 10:00 PM,,OPERATIONAL,"429 Monroe Avenue, Buckeye",85599CC7+4V,429 (street_number); Monroe Avenue (route); Buckeye (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85326 (postal_code); 2803 (postal_code_suffix),"Well stocked place, nice friendly folks working there. 1st time there and it was a very pleasant experience.; I really enjoy getting a few things.there staff is great.; They went out of there way to find and order what I was looking for. Great service and very friendly; Amazing staff. I love the Beatbox beverages! I would love to see the new flavors in store!!; I go there to buy ice in the drive thru. The staff is always friendly and they are pretty quick."
Liquor Express,"4940 S Park Ave, Tucson, AZ 85706, USA",4.1,57,,(520) 294-3485,+1 520-294-3485,,Monday: 10:00 AM – 11:15 PM; Tuesday: 10:00 AM – 11:15 PM; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 11:15 PM; Friday: 10:00 AM – 11:15 PM; Saturday: 9:00 AM – 11:30 PM; Sunday: 10:00 AM – 10:00 PM,,OPERATIONAL,"4940 South Park Avenue, Tucson",854F526V+RC,4940 (street_number); South Park Avenue (route); Rancho Mirage (neighborhood); Tucson (locality); Pima County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85706 (postal_code); 1433 (postal_code_suffix),"Trinity was amazing. The food the staff all amazing. We were in mood for sushi stopped at 2 places down the street but felt more welcomed here as soon as we walked in the staff greeted and seated us. Meet the owners also they were very nice. Great staff great food. Thank. Will be back soon; I used to go to this place all the time, but after inflation hit, their prices have been outrageous! You're better off going to Circle K.; It’s 10:30 and the closed sign is up and the guy is walking around the store messing around while another guy is stalking shelves ignoring the line. There is a full line of people waiting (7 cars); Small business but highly recommend it's a drive through. Has  been here for years and will continue to go  friendly workers; Great employees. It's a little pricey compared to gas stations in the area, but it's convenient."
Sedona Liquors,"221 AZ-179, Sedona, AZ 86336, USA",3.9,160,,(928) 282-7997,+1 928-282-7997,,Monday: 9:30 AM – 9:00 PM; Tuesday: 9:30 AM – 9:00 PM; Wednesday: 9:30 AM – 9:00 PM; Thursday: 9:30 AM – 9:00 PM; Friday: 9:30 AM – 9:30 PM; Saturday: 10:30 AM – 9:00 PM; Sunday: 10:30 AM – 9:00 PM,,OPERATIONAL,"221 Arizona 179, Sedona",856CV67P+QH,221 (street_number); Arizona 179 (route); Sedona (locality); Coconino County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 86336 (postal_code),"Fun variety: beer, wine, liquor, mead, sake. A little bit of everything. I’m not sure who else sells superstitions mead, but they had a few bottle...would love to see a bigger selection. They had the basics and then some fun stuff you don’t always see. Beer selection wasn’t great...I’d say the grocery store has a better one.; Parking is really bad. They charge 3% extra if you use a credit card and justify it by saying other shops do it. They are much more expensive than Total Wine. The same size bottle of Gold Miner Rum is $37.55 plus 3% at this store; it is $28.99 at Total Wine (see pictures).; This place is right off 89A on 179 on the left. Friendly people, good prices, parking may be an issue at lunch or dinner time with the restaurants in the shopping center.; Love that they have a drive-thru! Especially after a long day at work when the last thing you want to do is go in a store.  The guy Mike that works there is really friendly and he knows his stuff when it comes to the over the top selection they carry. Plus they are the only ones in town to carry 6 packs of my fave IPA Lil Sumptin. Thank you for all of the above!; Very cool store tucked away in the beautiful scenery.  Very nice selection"
88 Liquor,"586 W 19th St, Costa Mesa, CA 92627, USA",4.3,10,,,,,Monday: 9:30 AM – 11:00 PM; Tuesday: 9:30 AM – 11:00 PM; Wednesday: 9:30 AM – 11:00 PM; Thursday: 9:30 AM – 11:00 PM; Friday: 9:30 AM – 11:00 PM; Saturday: 9:30 AM – 11:00 PM; Sunday: 9:30 AM – 11:00 PM,,OPERATIONAL,"586 West 19th Street, Costa Mesa",8554J3VG+GX,586 (street_number); West 19th Street (route); Downtown (neighborhood); Costa Mesa (locality); Orange County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 92627 (postal_code),"Never opens in time. Online says 9:30. Multiple times I come after 10:15 and it's still not open. She argues that she is here and open by 10 but that isn't the case when we wait out front until 10:30 and no one is there still .; All I needed. Nice people; Good neighborhood place to get your lottery scratchers.; Great little place, they have everything from tequila , vodka; 👍👍👍👍"
A-1 Liquor & Market,"1647 W Glenoaks Blvd, Glendale, CA 91201, USA",3.8,23,,(818) 243-5920,+1 818-243-5920,,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 7:00 AM – 11:00 PM; Sunday: 7:00 AM – 11:00 PM,,OPERATIONAL,"1647 West Glenoaks Boulevard, Glendale",85635PC6+C7,1647 (street_number); West Glenoaks Boulevard (route); Grandview (neighborhood); Glendale (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91201 (postal_code); 1826 (postal_code_suffix),"Prices are too high, the older guy behind the counter charges extra for some reason, place is dirty and ghetto inside. Bitcoin machine inside is a rip off. Better off going somewhere else. Other 5 star reviews are fake; Love this market! Been coming here for a long time. Great selection of anything might need. Friendly faces that are always welcoming.; Fresh produce and good prices and excellent spirits everything I need it including a good price👍; Great Prices. Great Service. They have a huge variety of spirits, beer, and much more.; Nice clean place and the owner is a pleasant person."
George's Liquor Store,"3061 Lincoln Ave, Altadena, CA 91001, USA",4.2,130,,(626) 794-5776,+1 626-794-5776,,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 7:00 AM – 11:00 PM; Sunday: 7:00 AM – 11:00 PM,,OPERATIONAL,"3061 Lincoln Avenue, Altadena",85635RXR+68,3061 (street_number); Lincoln Avenue (route); Altadena (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91001 (postal_code); 4534 (postal_code_suffix),"I was here one night and this tall dude wearing a grey hoodie came in and robbed dude with a switchblade for all the backwoods, I think it was that white boy named Rick; My go to liquor when I'm always visiting Altadena! The staff is always friendly except for one older guy when I visited once. The younger guys are always friendly and helpful. They are patient with customers. Just avoid going if you don't see the younger guys working. The parking lot sucks azz but nothing you can do since that's the only lot they own lol; Iconic long term liquor store / mini market  that saves a drive  and time for things like beer, wine, whisky, munchies and a few perishables like eggs, cold sandwiches , frozen tv dinners and ice cream. You can also play Lotto here . Decent variety of wines, beers, hard liquors. Not a large variety but in a cinch can cover some simple needs; Best place to get your scratch tickets, the guys that work there are really cool too.; They are my neighborhood store. They are family"
Cafeteria Los Coco's,"32HF+XR7, Sabana Grande, 00637, Puerto Rico",4.2,61,,,,,,,CLOSED_PERMANENTLY,"32HF+XR7, Sabana Grande",,32HF+XR7 (plus_code); Sabana Grande (locality); Santana (administrative_area_level_2); Sabana Grande (administrative_area_level_1); Puerto Rico (country); 00637 (postal_code),"The best place to relax and have a nice empanadilla .love it; Good food and drinks, I would recommend.; Its nice but nit epic; Gr8 local watering hole...; Buenos."
