Name,Address,Rating,User Ratings Total,Place ID,Phone Number,International Phone Number,Website,Opening Hours,Price Level,Business Status,Vicinity,Plus Code,Address Components,Reviews
Milk and Honey Market of Phoenix,"333 E Roosevelt St, Phoenix, AZ 85004, USA",4.3,47,,(602) 758-8880,+1 602-758-8880,http://www.milkandhoneyphx.com/,Monday: 6:00 AM – 2:00 AM; Tuesday: 6:00 AM – 2:00 AM; Wednesday: 6:00 AM – 2:00 AM; Thursday: 6:00 AM – 2:00 AM; Friday: 6:00 AM – 2:00 AM; Saturday: 7:00 AM – 2:00 AM; Sunday: 7:00 AM – 2:00 AM,,OPERATIONAL,"333 East Roosevelt Street, Phoenix",8559FW5J+98,333 (street_number); East Roosevelt Street (route); Evans Churchill (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85004 (postal_code),"I just wanted to express my appreciation for Mike and Honey. Conveniently located in the heart of downtown Phx, close to my work, I stop in almost daily. The store is always clean and I am greeted with genuine smiles. I especially enjoy my small conversations with Norm. He along with the other guys there make sure I am taken care. Thank you for provided such outstanding customer service; Enjoyed stopping here all week on my business trip. Great little store with a little bit of everything.; Great little market near the hotel I was staying at. Visited multiple times because it is convenient, clean, friendpy, and reasonably priced.; Best market! So thankful they came to downtown. They have everything you would need from fresh food to liquor. The owner and staff are so friendly and always make sure the fruit is freshly cut and packaged each morning when we stop by. Don’t know what we would do without this place. Great prices too!; They have Dom Perignon! Picked up some last night. That in itself is a 5 star rating for this great store!"
Skyline Liquor and Beer,"9950 E Broadway Rd, Mesa, AZ 85208, USA",4.6,991,,(480) 986-9954,+1 480-986-9954,http://skylinebroadway.com/,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 9:00 AM – 10:00 PM,,OPERATIONAL,"9950 East Broadway Road, Mesa",855CC95M+6J,9950 (street_number); East Broadway Road (route); Mesa (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85208 (postal_code),"What can I say about this place. It has everything. Even has the 99s you cant get in most places. There is also a smoke shop in this one and they have some decent specials and I think a drive thru.; Speaking directly to the accusation of refilled liquor bottles,
""Jaime Gibson""
There is a very real Arizona Department of Liquor Licenses and Control. They test stores, frequently, in the blind!
If you have a legit complaint, report it to them, not posting your LIE on google maps review!!

My local goto!!
6⭐️⭐️⭐️⭐️⭐️⭐️6
Solid and convenient. Friendly staff. Prices seem to rise very slowly.... Wide variety/selection of aDuLt beverages and smoke accessories.

I spoke with the owner,  very early one morning, recently, told him about my 2 very old liquor decanters!
1 Full, 1 not. LOL!
8 year old Jim Beam, at time of bottling.
Not for Sale...thx; They always seem to have 2-3 customers in there anytime I go.  When I'm creating a new drink, I like this place because when it's your turn, they give you the attention you need.  And they always seem friendly which can be a challenge when you have such a ... variety of clients.; Always a great atmosphere when I walk in. The staff is very friendly, and the owner carl always tries to get items they don't sell, if there's enough demand for it.; Wanted some random beers so I figured with the reviews this would be the place... it did not disappoint. I found the prickly pear vodka I've been wanting to try and of course I went with some 903's... I love their Slushy style beers frozen for a few hours, so damn good in this hot weather!"
BevMo!,"7230 W Ray Rd #4, Chandler, AZ 85226, USA",4.4,1051,,(480) 961-9100,+1 480-961-9100,https://www.bevmo.com/,Monday: 9:00 AM – 11:00 PM; Tuesday: 9:00 AM – 11:00 PM; Wednesday: 9:00 AM – 11:00 PM; Thursday: 9:00 AM – 11:00 PM; Friday: 9:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 11:00 PM,2,OPERATIONAL,"7230 West Ray Road #4, Chandler",855C82CJ+HR,4 (subpremise); 7230 (street_number); West Ray Road (route); South Tempe (neighborhood); Chandler (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85226 (postal_code),"Bevmo is the spot for all of your liquor needs. Great wine and beer selections and their prices are great. I like shopping the end caps for all the promotional deals and featured beverages.; There's not as much variety as  Total Wine, but there's still plenty to keep you there for hours! It was clean, and the employees all greeted me. Checkout person really helped me out. Got me signed up for their club membership, so I got a bottle of wine and the second bottle for 5 cents!; There is a Total Wine and More 6 minutes away from this location, save your time and frustration and just go there instead! They have better selection and better customer service anyway. I went to this BevMo and purchased a Monster energy drink, a Redbull, a cigar, and a Jaeger shooter. Made it all the way back home (30 minutes later) and the Jeager is not in the bag??? Tore the car apart to make sure it didn’t end up under a seat or something during the drive and called the store 5 times to see if they have it there but apparently everyone was too busy to answer my calls…. I will not be returning.; I’ve been ghosted by the gopuff warehouse a couple times .. this is unacceptable.. correct your hours or hire people that work! Wasting good people’s time and money !! Done come here from 9pm-9am almost guarantee you won’t get it … even though they say 24hr … trash . 🗑️; BevMo, it's not a bad place they got a lot of assortments of everything there. I just went  looking for Shasta ginger ale which they didn't have so I left."
Total Wine & More,"1900 E Rio Salado Pkwy Suite 120, Tempe, AZ 85288, USA",4.6,2496,,(480) 967-0313,+1 480-967-0313,https://www.totalwine.com/store-info/arizona-tempe-tempe-marketplace/1010?cid=referral:website_link::momentfeed:1010_tempe_marketplace_store_details_page:,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 9:00 PM,,OPERATIONAL,"1900 East Rio Salado Parkway Suite 120, Tempe",855CC3JX+49,Suite 120 (subpremise); 1900 (street_number); East Rio Salado Parkway (route); Tempe (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85288 (postal_code),"I always have a great experience shopping here. This last time I was in the store, I was unsure of what brand of tequila I was wanting to get for a friend. Jenni was able to assist me and choose the perfect gift for my friend. We were both thrilled with the selection of tequila we got. Thanks to Jenni for being a superb help!!; I truly love this store! Management team on the floor were super helpful and they helped me without having to find someone in the very back of the store. They have a variety of different products and the prices are AMAZING!!! Please go Visit ❤️❤️❤️; Good sampling service. Good selection of products.; Besides this being a great liquor store , one of the workers personally helped me for more than 30 minutes. She let me taste multiple tequilas ( since that’s what I came for ) and helped me find the one that was right for me. I really appreciated her help and will be coming back even if it’s for a basic alcohol.; They are 5 when they have my brew. When they don’t a 3.. haha. My fav. Is the well being brew  hell raiser dark Amber. I also like the sober carpenter Irish red.. the new one I’m going to try is the brew dog Elvis AF.. this for all those that like brew and non- alcoholic.. hits the spot.. oh I like to tell u I tried the Elvis AF and it’s very good. Very light bodied though."
Trevor's Liquor,"7340 E McDowell Rd, Scottsdale, AZ 85257, USA",4.8,704,,(480) 581-8923,+1 480-581-8923,https://www.trevors.com/,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 12:00 AM; Friday: 9:00 AM – 12:00 AM; Saturday: 9:00 AM – 12:00 AM; Sunday: 9:00 AM – 10:00 PM,,OPERATIONAL,"7340 East McDowell Road, Scottsdale",855CF38G+FR,7340 (street_number); East McDowell Road (route); South Scottsdale (neighborhood); Scottsdale (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85257 (postal_code); 3502 (postal_code_suffix),"First off I would like to say that this place looks amazing and has an incredible selection.
We stopped in for a late lunch and drinks and overall was really impressed! The old fashioned was on point and the charcuterie board and chicken cesar salad was good as well.
My only complaint is in regards to one of the food runners which offered more toast points for the charcuterie board, which we asked our server (who was great by the way) to grab for us. When we got the bill we were charged an additional 4 dollars for them.  If I could only deduct a fraction of a star I would but this place is already pretty expensive so I feel like it was a little ingenious and didn't want it to be anything other than a minor annoyance on an otherwise great time.
Overall I would recommend this business; This is where it all started for them. Great location to get local support. The selection of spirits and beer are great the the wine is good. The walk in Himidor for cigars is well stocked and has great selection as well. The bar area is nice for what it is. Over all not a bad place at all. The service is hit and miss and some of the staff seem lost.; Stopped here while staying in Scottsdale.  They have everything you need, including vacation friendly sizes of most products, a wide variety of beverages, including mixers, even bottled water.  I asked where I could get fresh limes and they had them in the store!  Very helpful salespeople.  Great experience.; Excellent place in the heart of Scottsdale!  They have a great selection of beer, liquor, cigars and they even have food trucks! Awesome outdoor patios with plenty of seating. Came here with a few friends and socialized over some drinks and cigars. Had an amazing time and definitely recommend this place!; The place is awesome. I can't say enough.
Great place to grab a drink and hangout. If you're just looking for drinks to go, this place has a HUGE selection.
Do yourself a favor and check this place out.
Heads up, if you're looking for the pizza you are going to need to head to the Scottsdale location.
This location does seem to always have food trucks outside though."
Paradise Liquor,"722 W Southern Ave, Phoenix, AZ 85041, USA",4.9,1552,,(480) 372-8510,+1 480-372-8510,https://paradiseliquoraz.com/,Monday: 6:00 AM – 12:00 AM; Tuesday: 6:00 AM – 12:00 AM; Wednesday: 6:00 AM – 1:00 AM; Thursday: 6:00 AM – 2:00 AM; Friday: 6:00 AM – 2:00 AM; Saturday: 6:00 AM – 2:00 AM; Sunday: 7:00 AM – 12:00 AM,,OPERATIONAL,"722 West Southern Avenue, Phoenix",85599WV8+2J,722 (street_number); West Southern Avenue (route); South Mountain Village (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85041 (postal_code),"Been coming here for many years and absolutely love coming here! The employees are all very friendly and recognize their return customers which is very cool. They have so much stocked and great prices! Best liquor store in Phoenix by far (I've been to many in Phoenix) even though they don't have a drive thru its still the best; I will be sharing my experience at Paradise Liquor Store with everyone. I called there store to inquire on a great deal I'd seen on there website,nothing but respect on there line. So a few hours later I made my way to Paradise Liquor  and was just so impressed with the stock,an the cleanliness of there store. Awesomeness!! It is a few miles out if my way but it's worth every cent in gas. Thank you all you polite gentlemen behind the counter..
Sincerely grateful  Vicki Klee; By far, the friendliest Friday fun shop in town. Competitive prices and specials are super cool. Variety - they have every single cocktail party supply needed.; Excellent service. Delivery drivers are very courteous and efficient. Great customer service. If a product is not available, they would call the customer immediately with alternative products.well done guys. Keep up the good 👍  work.; This place is awesome!! The people that work here are so nice and helpful! Has some of the best deals out there!"
BevMo!,"7129 E Shea Blvd, Scottsdale, AZ 85254, USA",4.2,351,,(480) 607-5523,+1 480-607-5523,https://www.bevmo.com/,Monday: 9:00 AM – 11:00 PM; Tuesday: 9:00 AM – 11:00 PM; Wednesday: 9:00 AM – 11:00 PM; Thursday: 9:00 AM – 11:00 PM; Friday: 9:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 11:00 PM,2,OPERATIONAL,"7129 East Shea Boulevard, Scottsdale",855CH3JF+94,7129 (street_number); East Shea Boulevard (route); Central Scottsdale (neighborhood); Scottsdale (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85254 (postal_code),"Large store with a huge variety of wine, beer, soda, mixers, liquor, and glassware.  They have a growler area where you can fill your own with many varieties of beer to choose from.  The staff is very helpful and friendly.  Prices are mostly fair, but if you know your price points you can get some good deals.  Sign up free to become a member to take advantage of the prices.; Claims to price match Total Wine, but they won’t.

Act I: The BevMo Conundrum
Intrepid duo Sir Sip-a-Lot and Lady Liquorice stood before the towering shelves of BevMo, their eyes wide with anticipation. There it stood—the majestic 1.75-liter bottle of grapefruit-infused delight. But alas! The price tag read $32, which was more than a medieval dragon’s ransom. Sir Sip-a-Lot scratched his head, wondering if he’d accidentally stumbled into a gold-plated distillery.
“Fear not, Lady Liquorice!” he declared. “We shall seek refuge at Total Wine, where the prices flow like a gentle stream of budget-friendly nectar!”
And so, they galloped (okay, maybe staggered) to Total Wine, where the grapefruit gods smiled upon them. The same bottle—$24.99! Sir Sip-a-Lot did a little jig, and Lady Liquorice high-fived a passing mermaid. Victory was within their grasp!
Act II: The Price-Matching Paradox
Back at BevMo, our heroes presented their discovery. “Behold!” cried Sir Sip-a-Lot, waving the Total Wine receipt like a wizard’s scroll. “We demand price-matching!”
But the BevMo gatekeeper frowned. “Nay, noble imbibers!” he thundered. “This is not an online price! You must conjure an in-store price from thin air!”
Lady Liquorice raised an eyebrow. “In-store price?” she scoffed. “Do we look like wizards who can summon price tags at will?”
The gatekeeper remained unmoved. “Only with an in-store price shall the price-matching spell be cast!”
Act III: The Unexpected Twist
Our heroes huddled, their minds sharper than a freshly cut lemon wedge. “**What if we draw a grapefruit on parchment and label it 'In-Store Price?” suggested Sir Sip-a-Lot.; We went in to get some tequila for a party and the associates there were very polite and helpful. They explained the different processes used for different tequilas and recommended on a bottle keeping in mind our budget. They were not pushy just very helpful which I appreciate since I don't know much about alcohol at all.; Straightforward layout, good selection. Prices are a little higher than grocery stores.; What a great selection . Had everything we needed . Great store ."
Total Wine & More,"1670 E Camelback Rd, Phoenix, AZ 85016, USA",4.6,3556,,(602) 279-0540,+1 602-279-0540,https://www.totalwine.com/store-info/arizona-phoenix-camelback/1006?cid=referral:website_link::momentfeed:1006_camelback_store_details_page:,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 9:00 PM,,OPERATIONAL,"1670 East Camelback Road, Phoenix",8559GX63+4M,1670 (street_number); East Camelback Road (route); Camelback Center (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85016 (postal_code),"Love this total wine. Not originally from Phoenix but this one is always super convenient when we do visit. Extra stars because Kyle gave us great customer service with kindly replacing our bottle when it ripped through the bag. On another note, I found some delicious tequila seltzers (that I never even knew existed!) Overall great TW experience!; I love this store. The staff are really helpful and I get great bourbon and rose recommendations. Buy any 6 bottles that qualify for mix and match for a discount.  I have a million points here now with the app, about time I left a review; Selections are massive! There are a lot of options to choose from and there are also items you could buy if you want to make a charcuterie board. Parking is available too.; Great location on East Camelback in Phoenix.  Massive inventory of all your liquid libation needs!  Knowledgeable and friendly team members.   Accessories and More!
Rewards program and online purchasing with delivery available.
I highly recommend ""Total Wine & More"" for your next BBQ, family gathering, date night, or maybe a quite evening of self reflection.

Drink Responsibly. 💯

🎃 Happy Halloween 🎃; I recently had a chance to stop into in to search for something to try while visiting the city. I loved the selections they provided, and they had some very rare items on the shelf. I was able to locate some of my favorite Tequilas to take home with is always a plus in my book. The employees there were attentive and offered help if they thought you were overwhelmed l, which could be easily done. I will be back."
BevMo!,"6712 W Bell Rd, Glendale, AZ 85308, USA",4.3,1285,,(623) 776-9436,+1 623-776-9436,https://www.bevmo.com/,Monday: 9:00 AM – 11:00 PM; Tuesday: 9:00 AM – 11:00 PM; Wednesday: 9:00 AM – 11:00 PM; Thursday: 9:00 AM – 11:00 PM; Friday: 9:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 11:00 PM,2,OPERATIONAL,"6712 West Bell Road, Glendale",8559JQQW+HG,6712 (street_number); West Bell Road (route); Coventry Estates (neighborhood); Glendale (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85308 (postal_code),"I don't understand why they send me 25 coupons a month that are good for one day maybe two. They're never good on the day that I need them. And after I drop $150 on the new keg they'll send me a coupon if I spend $100 in the next two days they'll give me $10 off.; Great selection on everything. Staff is friendly and can give you good advice on products.; If you are using Gopuff, keep in mind that BevMo closes at 11pm. I do UberEats and found this out when trying to do an order at 12am. Get your order in by 1030 maybe 1015 depending on the day.
As a customer of BevMo, they are top shelf.; Had everything we need! They sell chips and snacks, lotions and sunscreen. All kinds of grocery items! Great service and even had the Buffalo Trace bourbon that no one else had! Thanks Bevmo, our new favorite store!; The bottle I purchased was perfect, the staff was extremely helpful. The prices were ideal as I would pay that price over anywhere else. I have given 4 stars out of 5 due to the amount of time it took for me to find what I was looking for. There is so much to look at and there is no clear sections for different types of products. It would be much easier with signs for each section."
BevMo!,"2370 W Happy Valley Rd #1061, Phoenix, AZ 85085, USA",4.3,447,,(623) 434-3371,+1 623-434-3371,https://www.bevmo.com/,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 8:00 PM,2,OPERATIONAL,"2370 West Happy Valley Road #1061, Phoenix",8559PV7Q+QR,1061 (subpremise); 2370 (street_number); West Happy Valley Road (route); Deer Valley (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85085 (postal_code),"Here we are at 3:38pm on Wednesday March 6th, 2024. All I wanted after work was some non-alcoholic beer and I couldnt find the aisle, so I go up front and there is one worker. An older man with white hair, and hes talking to a customer thats already checked out about glutten free beers and the economy. Dude I stood there for a solid 3 minutes to ask one question and even after making eye-contact he goes right back to having a conversation. Literally walked right out the store in front of them both, they arent getting my hard earned money and Ill be sure to tell all my USAA employees the same, that is the worst customer service Ive seen for an area like this.; Lots of great food choices to match a decent spirits selection. I often use it like a grocery store. Staff is always very kind and courteous.; The folks here are great however the selection of liquor is terrible. Local grocery stores have the same or better selection and the prices are insane in some cases 2x as the store 1 minute up the road (750ml of Milagro).; I will never shop here again, I have been a customer for over 10+ years but after CONSTANT terrible service and severe lack of respect for the customer I will take my business elsewhere.; Quite smaller than I expected. The choices are minimal but they still have a decent selection. Prices are pretty much standard all across the board. The service was great that's why the four stars. Minus one for lack of selection."
