Name,Address,Rating,User Ratings Total,Place ID,Phone Number,International Phone Number,Website,Opening Hours,Price Level,Business Status,Vicinity,Plus Code,Address Components,Reviews
Hydra,"FVHM+JJH, Arenales, Aguadilla 00603, Puerto Rico",4,47,,(787) 390-6982,+1 787-390-6982,http://www.hydralive.com/,Monday: Closed; Tuesday: Closed; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Closed,,OPERATIONAL,"FVHM+JJH, Arenales",,FVHM+JJH (plus_code); Arenales (locality); Aguacate (administrative_area_level_2); Aguadilla (administrative_area_level_1); Puerto Rico (country); 00603 (postal_code),"Hydra, Aguadilla...Excellent place to visit! Delicious food, it's owner, Roberto Bobby Becerril and staff, always very accommodating and helpful! Thank you for your hard work and accommodation...very pleasing indeed! Kudos to you all!; This a good place to have lunch and relax. The staff is very attentive. The food was good. They have great variety of beers and drinks.; awesome!!; One of the best spots to hang out in Aguadilla... Great food and music.; Went for a concert and the bathroom weren’t working and they ask us to cross to the next restaurant."
Antro Nightclub,"4346 W Glendale Ave, Glendale, AZ 85301, USA",3.7,103,,(623) 688-5009,+1 623-688-5009,,,1,CLOSED_PERMANENTLY,"4346 West Glendale Avenue, Glendale",8559GRQW+JJ,4346 (street_number); West Glendale Avenue (route); Glendale (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85301 (postal_code),"Not the biggest club out there, but the atmosphere is 🔥👍🏼. The music is good, the club is clean, the owner runs it well, and the women are gorgeous! I met the owner and he is so humble and nice. If u want to have a good time this is the place!🍾🍾; The place has serious potential! But it's coming up short still.

1- get an up to date web site with weekly updates.
2- commit to music nights. 2 different music genre's max per night(that compliment each other) . With updates on the website as to what night is what music.
3- turn the lights down more on the dance floor.

Those 3 are free. And will immediately impact business for the good. If you want more you need to hire me as a consultant. My resume is impeccable. I can turn your place into a multi million dollar establishment.

I've been there recently and I gotta say.... Your can do much much better. Contact me.; The club seems a little run down in some places but the vibe is definitely right. They had great music playing all night long and it was a variety of different genres. But the thing that really put them over the top to me and why I gave a 5 star rating is simply because of water bottles. I asked for water and got a bottle at no charge. The places I usually go to always want to charge for bottles and give cups out for free. So the fact that I got a water bottle truly had my mind blown. Definitely worth a trip or two.; Worst club I've ever been to! Way too many ugly people, too many lights it was bright inside on the dance floor making it uncomfortable and weird to dance near anyone. VIP didn't even come with a bottle
Nor did not cover entrance fee. You pay $100~$200 for a table only. Spilled drinks every where! Dirty floors! I agree they do have corrupt security staff. I Witnessed three different times when the security belittled three different customers. Even grabbing a female aggressively without any type of struggle on her side as they drag her outside. The music sucks, it was very humid and hot inside. I would not recommend this place to anyone.; Honestly it's a pretty lit place. Great music & drinks. Had a great time with my girls. The only bad thing I can say is that there was nothing but ugly ass guys, so ladies don't go expecting to find a prince charming. 😂😂😂 oh and also $10 CASH to get in....even ladies smhhhh."
Club Luxx,"136 E Washington St, Phoenix, AZ 85004, USA",2.6,111,,(602) 691-7226,+1 602-691-7226,,,,CLOSED_PERMANENTLY,"136 East Washington Street, Phoenix",8559CWXH+C9,136 (street_number); East Washington Street (route); Central City (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85004 (postal_code); 2341 (postal_code_suffix),"Shady ass bouncer. If you can't trust security, you can't trust your safety in a place. I asked for a VIP cover to skip the line. $20/person. Fine, done. He seemed surprised I agreed...  Then waited until after I gave him cash to mention there's an additional cover to get past the door. Seriously dude, why not do some basic math & be straight with me? Whatever... $5/person he says... No big deal. Get to the door cashier. $10/person she tells me. I explain. She says they're separate covers & it's $10/person. You know, separate charges are whatever... I was celebrating and budgeted at least a couple hundred... But to not be straight with me about something as simple as money...? Yea, I'm not having it. Done! Left and went to the place next door: $10 each, no line, & variety of fun music.; It’s a fun place to go and have drinks and fun with your friends on the weekend. Great DJ mixing up your favorite songs. Keep in mind this place is very small so I definitely recommend getting a table for yourself because it does get crowded very quickly. I’m talking elbow to elbow crowded with people squeezing by you and spilling their drink on your favorite shoes. A place like this you won’t even know which guy grabbed your butt; Two of my lady friends were physically assaulted by a male patron in this bar last night. Two security guards and the manager did nothing to stop the man - their response was to kick out my friends for ""making a big deal out of nothing."" It was far from nothing. Businesses have a responsibility to protect their patrons, especially when alcohol is involved. This place proved they are unwilling to do that, which means they do not deserve any business. Stay away from this place!; The service was terrible the music was ok. But the system is way to big for that tiny space. So some high pitch noises would come out the speakers! Horrible. I will never go there again! Also they said 8 of my guest were suppose to get in free. But they charged them anyways. I booked my birthday there. Big mistake; If I could give this place -1 I would.... I made reservations for my fiancé birthday a week in advance. They said we'll see you Friday!! Well when we got there Friday night at 11:30pm they had already gave our table away. If there was a certain time we had to be there they would've told us not just give our table away. Or at least give us a call it's not like they didn't have our number. Why ask for our name and number and not even us it. So worthless"
Xantolo Night Club,"4139 W Bell Rd #7, Phoenix, AZ 85053, USA",4.1,162,,(480) 740-5446,+1 480-740-5446,,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 10:00 PM – 2:00 AM; Saturday: 10:00 PM – 2:00 AM; Sunday: Closed,,OPERATIONAL,"4139 West Bell Road #7, Phoenix",8559JVQ2+8V,#7 (subpremise); 4139 (street_number); West Bell Road (route); Deer Valley (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85053 (postal_code),"I love this place,  great music,great service plus everything looks so cool and new. Definitely I'm going this weekend. 👌; The club can get lit but..I don’t know if they just hired non-experienced bartenders because the drinks were weak as hell, literally tasted like virgin drinks. Get VIP service if possible with the hookah as it’s a good experience. If not buy only beer and or pregame because the cocktails were highly disappointing.; Absolutely nobody in the dance floor, and for a $10-15 cover charge, insane. A scam, there was maybe 4 booths each with a few people at them, the rest were completely empty. very dead, probably from location and marketing, has so much potential to be great, just can’t fire it out I guess 🤷🏼‍♀️; Best night ever if buy a bottle for 150 or 200 you  get a VIP table plus add 40 dollar hookah or for the low pay 50 you get a small table and comes with a bucket beer of choice… first time here definitely come back; Paid $60.00 cover charge, they didn't have seating for us since we didn't have reservations. Bottle service is $300.00 and recommended by the usher. We felt unwelcome and got out with our money back."
Karamba Nightclub,"1724 E McDowell Rd, Phoenix, AZ 85006, USA",4,242,,(602) 254-0231,+1 602-254-0231,http://karambanightclub.com/,Monday: 9:00 PM – 2:00 AM; Tuesday: 9:00 PM – 2:00 AM; Wednesday: 9:00 PM – 2:00 AM; Thursday: 9:00 PM – 2:00 AM; Friday: 9:00 PM – 4:00 AM; Saturday: 9:00 PM – 4:00 AM; Sunday: 9:00 PM – 2:00 AM,1,OPERATIONAL,"1724 East McDowell Road, Phoenix",8559FX84+C5,1724 (street_number); East McDowell Road (route); Encanto Village (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85006 (postal_code); 3034 (postal_code_suffix),"Went here because me and my friends had nothing else to do after our event and we wanted to dance for a little bit more and we stopped here after they stopped serving alcohol and they charged me $20 to get in. I’m never coming back here to charge me that amount.; They usually have lights on and too much of a restaurant vibes. The DJ sucks really bad. Doesn’t know how to transition to different musics. Just went your getting the good beat, they change to were it’s slow and quiet. Kinda kills the vibe; Postpandemic I arrived just before last call to a polite attractive male bouncer. He gave me a quick run down if how I was to proceed. There is no dancing, I was to remain wearing my mask until I was seated at my table I believe the rule is if you are not seated at your table you have to have your mask on. I was surprised by not seeing the dance floor packed with dancers, instead tables took their place. I was allowed to go out onto the patio smoking area without a mask and the small group of about 10 people out there unmasked. Final thoughts; depends on what your expectations might be. Personally it was nice to get out and even though the crowd was very minimal I enjoyed my $5 picther of beer and people watching. On observing other groups and how they were having fun. This pandemic has everything all messed up but this club has been around for a long time and I would hate to see it go away because of financial problems. We know it's potential I hope we can all try to keep it going while protecting ourselves and others. Bottom line I had a good time. Just be prepared for something a little different than what we're used to. Let's support our local businesses especially gay owned.; I’m not worth your time after time and time again your establishment had wrongfully accused of actions such as “throwing the fist sucking punch” or “causing a fight” when I tried to explain to your establishment that I came up to the party as an individual on my own asking what the issue was, yes I had my heels off and hair tied because it was hot but I asked what the issue was and left. “The party” that I was with who actually threw the first punch should be banned permanently because I am no longer affiliated with that party and tend to start issues for no reason. Moral of the story: THID CLUB IS SO UNPROFESSIONAL!!!; Tipped the dj for a Latino song and waited 20 minutes but they only played English music. False advertisement"
Glow Tempe,"414 S Mill Ave #215, Tempe, AZ 85281, USA",3.4,102,,(480) 329-4090,+1 480-329-4090,https://www.facebook.com/GLOW-shots-cocktails-467823047127453/,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 10:00 PM – 2:00 AM; Friday: 7:00 PM – 2:00 AM; Saturday: 7:00 PM – 2:00 AM; Sunday: 9:00 PM – 2:00 AM,,OPERATIONAL,"414 South Mill Avenue #215, Tempe",855CC3G5+GW,215 (subpremise); 414 (street_number); South Mill Avenue (route); Tempe (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85281 (postal_code),"$5 and they couldn't bother to clean up the trash all over the stalls and a clogged up sink? The free clubs in the area are more clean than this place; Place was very unprofessional and their security are wanna be phx police. They beat on their customers. I watched security concuss a few different individuals that they had a “problem” with. Liquor license should be revoked and/or shut down; Kind of simplistic for a bar, felt like it was a off shore island diy bar. Gave off budget vibes. The drink I had was very delicious though so their menu is something to check out. Music was pretty good, I got in a dance or two. All and all I recommend you check this place out; Weak drinks. Sub-par drag show that lasted 45mins. Asked for singles for tipping the performers, was told no singles available but only $2 bills.; Had a misunderstanding with the staff , spoke with TJ , He resolved the issue in a professional manor and would suggest to anyone with a problem to speak directly to him , great place ,good drinks and  awesome music ."
Thundercat Lounge,"747 W Van Buren St, Phoenix, AZ 85007, USA",3.8,48,,(602) 789-3600,+1 602-789-3600,https://www.thundercatloungephx.com/,Monday: Closed; Tuesday: Closed; Wednesday: 7:00 – 10:00 PM; Thursday: 7:00 PM – 2:00 AM; Friday: 7:00 PM – 2:00 AM; Saturday: 7:00 PM – 2:00 AM; Sunday: Closed,,OPERATIONAL,"747 West Van Buren Street, Phoenix",8559FW28+F5,747 (street_number); West Van Buren Street (route); Central City (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85007 (postal_code); 2547 (postal_code_suffix),"First person there when doors opened so it was empty, but it filled up quickly.

I went because it was Old School Hip Hop night. I got to check out the bar, and meet the awesome DJ. I found the drinks to be expensive, but that's anywhere so if you can't afford it then don't drink or don't go out.

The place was very cool. It's only been opened about 2 months and they will be opening a karaoke night soon.

Bathrooms were very clean. Floors inside were clean, and the outside patio is clean.

The tables are not seating. They are reserve only so it's about $200 a table. Otherwise the inside is a dance floor. Seating on the patio is nice but scarce if it's a busy night.

I'll absolutely be back!; I was super excited to visit Thundercat Lounge for the first time a few weeks ago, but after a disappointing first experience I don't think I'll be back.

The security guard wouldn't let me bring in my nail clippers, which isn't an issue I've had at any other bar/venue. It was felt like such a hassle over something so small. It set the tone for the night.

The drinks were super small and weak for the price we paid, which was I think somewhere around $15 per drink. I also watched the bartender who made my drinks on the 2nd round sniff almost every metal shaker she picked up before using it, and it made me paranoid if they were properly cleaned or not.

I will admit the inside IS beautiful. The checkerboard dance floors, mirror ceiling, and pastel 80's themed restrooms made for a fun, visually pleasing space to be in. However, a lack of fans in the main space means the dance floor heats up quick. My friends and I found after a few songs we'd have to leave because it got too hot with the amount of people on the floor.

There's more I could add, but these were my main critiques of this venue and the reasons I won't be returning in the near future. I was excited for this place to open up, so I'd love for them to take this feedback to improve.; Free Form Thursdays at Thundercat have been a blast!! No cover, amazing music, and awesome festival art vendors on the patio!

Sound system is awesome inside and the security / staff are laid back and welcoming!; Absolutely love being here, such a unique and nostalgic atmosphere right off the bat with the neon themed room and awesome stage with all the works. Sound was really great, as well as the drinks! Love the variety of dance nights here, something for everyone. Definitely worth checking out, good vibes and good people.; We went to 80's Take on Me night for a friend's birthday.  We had an absolute blast! Danced the night away. We got a vip table, which is totally worth it if u want a place to leave your purse and drink while dancing. Our cocktail waitress was wonderful and the drinks and fun shots were yummy 😋  I highly recommend checking it out!"
Riot House,"3411, 4425 N Saddlebag Trail #105, Scottsdale, AZ 85251, USA",3.4,593,,(480) 935-5910,+1 480-935-5910,https://riothouse.com/,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 8:00 PM – 2:00 AM; Friday: 8:00 PM – 2:00 AM; Saturday: 8:00 PM – 2:00 AM; Sunday: 4:00 PM – 2:00 AM,2,OPERATIONAL,"3411, 4425 North Saddlebag Trail #105, Scottsdale",855CG32H+H5,105 (subpremise); 3411 (point_of_interest); 4425 (street_number); North Saddlebag Trail (route); South Scottsdale (neighborhood); Scottsdale (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85251 (postal_code),"It's definitely a vibe.

I stopped by with some old college buddies. This is definitely a younger crowd and a bit out of my age demographic, but this place really gets jumping at night.

If you're not hip to the club scene like us old timers. It's cool to have a couple of stiff drinks, jam out to the music, and just people watch.

If you are a club hopper and under the age of 35, the Riot Hose is the place to be.
The drinks are deliciously strong and served by sexy and scantily clad lady bartenders, which I certainly do not mind.

For a price, you can reserve a table, which I believe comes with bottle service.

Overall, we had a good experience. However, we did not dine here and have no clue what the food is like.; the promoter Antonio is the absolute best. Sundown Promotions really hooks it up at Riot House with great drinks and company!!! the bar was also really good and music was such a vibe; Visited in the middle of July on a Friday and it was busy but no wait to get in. No cover charge. Bottle service and booths available. Everyone is dancing, it's not awkward to be there. Even though it's open-air they do a good job of keeping the place cool (ish) on 100+ nights. It was tolerable. Plenty of drink options and hard seltzers.; The ambiance of Riot House was a vibe and the service was great! The DJ played a good variety of music and the crowd wasn’t too much. Definitely would recommend Riot House for your next night out!; Very poor management!!! As a business owner myself we have a responsibility to protect our customer and general public. I attended a bachelorette party with my girlfriend who had a section with her girls who kept getting bothered, approached and touched by the table next to them. My girlfriend and I ended up going to cake for a better crowd. Not long after we ended up getting a call from the remaining bachelorette party that one girl was on the ground bloody and the other was on the way to jail. What happened was once we left (and I being the only male) went to Cake the table of guys next to them moved in. We witnessed it while we were there but several times I kept them at bay. Once we left they again made contact with the girls and one girl defended the rest after he touched her and swung on the guy. Security ended up stopping the girl, blooding her face and told the police they (security) got assaulted. Never once did they mention the negligence of protecting their patrons. An innocent girl went to jail tonight. I spoke with police for over 30 minutes to even get a case number and they argued with me about the definition of assault which is the unwanted physical contact to another person. Non negotiable!! They refused to give any additional information or find the guys who assaulted the women to start the entire thing. If you’re a women and celebrating anything at all, DO NOT GO HERE!!! Case information is displayed below. Pretty women need protection while out and this club provides ZERO! Find another club!!"
Bar Smith,"130 E Washington St, Phoenix, AZ 85004, USA",4.2,561,,(602) 518-6263,+1 602-518-6263,http://www.barsmithphoenix.com/,Monday: 9:00 PM – 2:00 AM; Tuesday: 9:00 PM – 2:00 AM; Wednesday: 9:00 PM – 2:00 AM; Thursday: 9:00 PM – 2:00 AM; Friday: 9:00 PM – 2:00 AM; Saturday: 9:00 PM – 2:00 AM; Sunday: Closed,2,OPERATIONAL,"130 East Washington Street, Phoenix",8559CWXH+97,130 (street_number); East Washington Street (route); Central City (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85004 (postal_code),"Way too loud. Just ungovernable loud. Shakes my entire apartment which is a full block away not even facing it or on the same street.

I’m calling the police every single night I can hear this place going forward. Every. Single. Night. I’m done. Good luck.; Drinks are watered down for sure they getting your money. A friend of mine doesn't drink an ordered ginger ale and was charged $15 the bartenders don't take orders very well or listen to customers needs. The dj downstairs played some old ass hip pop n r n b for the most part had a cool little mix but an old mix. Rooftop was coo with a house dj but was hot up there; We go here just for the food 😋... Unfortunately the chef had sold out of all the catfish😭😭, but the smoked buffalo wings made up for it! The meat was falling off the bones & the greens were very flavorful 😁 We will DEFINITELY return for the catfish when they open up again!!!! The club is great & the DJs are always amazing, but the food is fire 🔥🔥🔥🔥🙌😋😍!!!!!; I went this weekend for girls night and stepped to the side to allow the rest of my friend group to get ID’d because I was the first in line and one of the bouncers came up to me with the audacity to tell me to “step to the back of the line if I’m broke”. I stepped to the side to be respectful to everybody walking in and out and to have somebody who’s supposed to be there to keep me “safe” talk to me so disrespectful was absolutely crazy. Never again! If you wanna have a good time go next door to the other clubs. Worst experience ever. Forgot to mention the weirdo went on and on about not letting me in because I said something back to him. Power trippers fr!; This was an awesome experience. One of a kind, CAN NOT BE MISSED. The DJ was spinning some great tracks on the roof top dance floor. The bar staff is on top of it. Top notch service. There are DJ's spinning on both levels."
TwentyThree01 Sports Bar,"2301 S Stearman Dr, Chandler, AZ 85286, USA",4.4,146,,(602) 989-9831,+1 602-989-9831,https://www.theforumcomplex.com/sportsbar,Monday: 12:00 – 9:30 PM; Tuesday: 12:00 – 9:30 PM; Wednesday: 12:00 – 9:30 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 10:00 AM – 12:00 AM; Sunday: 10:00 AM – 9:30 PM,,OPERATIONAL,"2301 South Stearman Drive, Chandler",855C76C4+XW,2301 (street_number); South Stearman Drive (route); Chandler (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85286 (postal_code); 2263 (postal_code_suffix),"Wow! This place is incredible! I was there for the Mercury game and wanted to watch UFC. Lily was my waitress and she was so kind and nice. She kept my table spotless, ensuring even a dropped fork wouldn't touch the floor. The food was absolutely amazing! I'm from San Diego, but now I just want to go to Arizona to eat at the Sports Lounge. I highly recommend Sport Lounge. I can't thank Lily enough for elevating my experience.; Found this place on TikTok. Came in to watch the NBA playoffs and the staff were very accommodating with putting the game on the big screen!  Food came out in less than 15 minutes. Q the manager and our waitor Trenton made our experience memorable. Happy hour dishes were ONLY $5 - we couldn't stop ordering the carnitas tacos.; We found this place just a block off the main road and we're glad we did.  The atmosphere is great.  Live music during the weekend nights and a great place to watch football or the UFC fights with the huge screens.  Will be back.; Lily was awesome! Food, drinks and huge tv’s were AMAZING!!! We are excited to come back to watch football!; Kelli is the absolute amazing server. She totally had everything handled. Checked on us constantly!  She made suggestions on unusual drinks and helped us pick menu items.  She is so freaking cute and has the most amazing personality. I live in a place where service is not the best so always want to give good servers a shout out!!  Thanks Kelli for making our night so fun.

Also this sports bar is lit. Love it!!"
