Name,Address,Rating,User Ratings Total,Place ID,Phone Number,International Phone Number,Website,Opening Hours,Price Level,Business Status,Vicinity,Plus Code,Address Components,Reviews
Ralphs Fresh Fare,"5225 Canyon Crest Dr, Riverside, CA 92507, USA",4.2,520,,(951) 784-3123,+1 951-784-3123,https://www.ralphs.com/stores/grocery/ca/riverside/canyon-crest-town-center/703/00609?cid=loc_70300609_gmb,Monday: 5:00 AM – 1:00 AM; Tuesday: 5:00 AM – 1:00 AM; Wednesday: 5:00 AM – 1:00 AM; Thursday: 5:00 AM – 1:00 AM; Friday: 5:00 AM – 1:00 AM; Saturday: 5:00 AM – 1:00 AM; Sunday: 5:00 AM – 1:00 AM,2,OPERATIONAL,"5225 Canyon Crest Drive, Riverside",8554XM49+94,5225 (street_number); Canyon Crest Drive (route); Canyon Crest (neighborhood); Riverside (locality); Riverside County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 92507 (postal_code),"Ralph's is a great place to shop. The store is very clean and well-organized, and the staff is nice. They have a bakery section with delicious cupcakes and cakes, and their fresh produce is top-notch. Everything here looked really nice. Highly recommended!; Store is clean. Beautiful flowers. Great produce, bakery. Paul has the best customer service out of everyone.; I moved to Canyon Crest 14 years ago and Ralph's was my go to store because of the convenience and for friendly employees but because of what they have done with their checkout service I will drive 5 miles away to Stater Bros because who actually have friendly employees working their checkout lanes. They have ZERO SELF CHECKOUTS! Last night 09/19/2024 I went in Ralph's just to grab some lettuce and beer. They had closed down one side of their self checkouts, 6 in total. They only had 2 employees that had their checkout lanes opened and the other 6 self checkouts opened. Customers were standing in lines going halfway down their food aisles which was causing a huge mess with other customers trying to walk around the store to grab items and whatnot. After realizing it was going to about 20 minutes of standing in line I just put what I had down in the aisle and walked out. What a joke! All of this inconvenienced because some big wig thought it would be better to have less employees for customer service by letting their own customers check themselves out just hoping to save money. That is insulting to your customers. I will now drive the extra 5 miles to stand in line to interact with the friendly employees of Stater Brothers. They usually have at least 7 to 8 checkout lanes opened at any given time. I give Ralph's a Big Fat 0 for Customer Service.; I love Canyon Crest Town Center and for many years have enjoyed shopping at Ralph’s until recently. I love the location, the variety, the prices, but the thing that I don’t like is the fact that whenever I go there, there is usually just one check stand open. I don’t like using self check out so this has caused me to go to Stater Brothers, which is further away from my home but where I know I can get a clerk to check me out without a problem. That being said, I want to give a shout out to cashier Natalie C. I ended up having to go to Ralph’s yesterday because I was in a hurry and didn’t want to drive further away to Stater Brothers. As usual, there was only one check stand open and it was hers. There was a long line and when I finally got up to her, she was pleasant and  accommodating, despite the fact that I could tell she was frustrated that there were no other checkers working. This woman deserves a raise. And let me know when you have more checkers working and I will gladly go to Ralph’s on a more regular basis.; This Ralph’s is amazing. Sounds funny, I know, but I am a big fan of this particular location. It is always well organized, clean, and has the friendliest staff. Great selection and a cleverly planned floor plan that prevents long lines and keep things moving. The V-day balloon displays yesterday were so gorgeous I had to take a picture."
Fry's Marketplace,"3246 E Bell Rd, Phoenix, AZ 85032, USA",4.1,1078,,(602) 765-4600,+1 602-765-4600,https://www.frysfood.com/stores/grocery/az/phoenix/32nd-st-bell-rd/660/00618?cid=loc_66000618_gmb,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,,OPERATIONAL,"3246 East Bell Road, Phoenix",8559JXRQ+QG,3246 (street_number); East Bell Road (route); Paradise Valley Village (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85032 (postal_code),"Had to update my 5 stars to 1 i normally go here for all my shopping and today some older lady with blue eyes treated me like a shop lifter- i knew the manager she reported me to and the security gaurd seen me shopping before and where just doing their job however i was dehumanized when being treated as a shop lifter. Once i shown my receipt they all looked at the ground feeling bad besides the older lady. Please do better and focus on the real shop lifters and not your day to day customers. There was a man who ran out with the alarm ringing and all and somehow their main focus was me :(; Recently while in the parking lot if fry’s.  One of the cart boys named mason, wasn’t paying attention to what he was doing and Plowed a stack of carts into my car, putting 3 nice sized dents into my passenger side door.   I reported it to the stores manager.     They came out and looked at the car.    Saw the damage.    But now the store is saying they aren’t responsible  for the damage to my car.    The dents are deep and cannot be rubbed out.    Whole door needs replaced.   I hope it’s worth the loss of business.  I will never shop at fry’s again.; This Fry's has clothes and a larger non-food section than most. The bakery, deli, and produce departments are fairly standard for Fry's but seem to have a bit better management than most stores. The men's room was exceptionally clean this morning which, frankly was better than expectation. I always like to stop by the ""clearance"" section in the back to search for treasures.; If you don’t mind being harassed by persistently annoying cell phone salesmen, zoned out delivery pickers cutting you off, and the occasional disgruntled cashier, the prices are good and most of the peeps that work there are very nice.

Produce, when stocked, is reasonably fresh and solid on quality/consistency.

Center aisles are inconsistently stocked and maintenance/cleanliness seem to be a secondary priority.

No reason to buy meat products here.  They’re very mediocre.  Quality and price gap way too wide not to make the separate trip to Costco.

Deli is disappointing.  Food quality is iffy and every other staffer is surely or indifferent.

I do like the pleasant familiarity and friendliness of most of the checkers and baggers.  The prices are definitely good, but the trajectory has definitely been downward over the years.   I can only imagine when Kroger/Albertson’s merge.; On July 11th, around 5 PM, I went to the store to purchase an Amazon gift card. I waited about 2 minutes at the customer service counter, as there was no one there. Eventually, a woman named Kristine came out. She greeted me in a very unfriendly and impatient manner, not even saying hello, and just asked what I needed.

I told her I needed an Amazon gift card, and she asked how much I wanted. Since I'm not fully comfortable with English, I asked her to repeat the question, and she responded by raising her voice and sounding annoyed, asking again how much of the gift card I wanted. I was really upset by her rude and unprofessional attitude. As a customer service representative, I cannot believe she would treat a customer, especially one with limited English skills, in such a dismissive and irritated way.

I wonder if Kristine treats all customers this way, or if she was discriminating against me because I am Asian. After I placed the money on the counter instead of handing it to her directly, she sighed heavily and gave me a disapproving look.

I had purchased an Amazon gift card, but I told the employee Kristine that I did not want to earn rewards points on that purchase. However, despite my request, Kristine went ahead and used her own shopper's card to earn the rewards points on your gift card purchase. This action by the employee seems inappropriate. Typically, store employees should only apply rewards points to a customer's card if the customer explicitly requests it. By using her own card without my consent, Kristine appears to be trying to personally benefit, rather than respecting the customer's wishes.

This kind of behavior by the employee may go against the store's policies. Customers should have the right to decide whether or not to earn rewards on their purchases, and the employee should not override that without the customer's approval.

This kind of poor customer service and potential discrimination is unacceptable. The store and the Fry's company as a whole should take action to address Kristine's behavior and ensure all customers are treated with respect, regardless of their language skills or background."
Héctor Mini Market,"C8V8+5W4, Domingo Ruíz, Arecibo 00616, Puerto Rico",4.8,42,,(787) 314-1699,+1 787-314-1699,,Monday: 5:30 AM – 9:30 PM; Tuesday: 5:30 AM – 9:30 PM; Wednesday: 5:30 AM – 9:30 PM; Thursday: 5:30 AM – 9:30 PM; Friday: 5:30 AM – 9:30 PM; Saturday: 5:30 AM – 9:30 PM; Sunday: Closed,,OPERATIONAL,"C8V8+5W4, Domingo Ruíz",,C8V8+5W4 (plus_code); Domingo Ruíz (locality); Domingo Ruíz (administrative_area_level_2); Arecibo (administrative_area_level_1); Puerto Rico (country); 00616 (postal_code),"Minimarket or supermarket, hardware store, I think it got the combination of the three mentioned, everything you need from a hardware store they have it, groceries they have it, house holds items they have, need to chillout? They have refreshments, beers 🍺 , there is a covered terrace attach to the store in front where they have tables and chairs where you can seat and drink your preferred beverage and relax while talking with friends and patrons, family atmosphere, I recommend this place 100%; Clean place and cold 🍻; SUPER; Super; Ample parking and very respectful treatment, very friendly, all the staff; in addition to the coldest beers in the northern area.  As family atmosphere."
Colmado Freddy,"C8F8+Q89, PR-656, Bajadero, Arecibo 00616, Puerto Rico",5,3,,,,,,,CLOSED_PERMANENTLY,"C8F8+Q89, Puerto Rico 656, Bajadero",,C8F8+Q89 (plus_code); Puerto Rico 656 (route); Bajadero (locality); Arenalejos (administrative_area_level_2); Arecibo (administrative_area_level_1); Puerto Rico (country); 00616 (postal_code),"Great, good attention!!!; ; "
168 Market,"19725 Colima Rd UNIT 103, Rowland Heights, CA 91748, USA",4.1,821,,(909) 595-8168,+1 909-595-8168,http://www.168markets.com/,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 10:00 PM; Sunday: 8:00 AM – 10:00 PM,,OPERATIONAL,"19725 Colima Road UNIT 103, Rowland Heights",8554X4QH+35,UNIT 103 (subpremise); 19725 (street_number); Colima Road (route); Rowland Heights (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91748 (postal_code); 3299 (postal_code_suffix),"I love fresh food here but froze  area please double check, hope manager of 168 can see this picture and stop putting this kind of Mochi icecream to the rack, it completely bad, when I open 2 pcs with hollow it means it was melted completly but market put it back, the mochi skin dry and hard like eating raw rubber, trash completely waste my money almost $6; The supermarket is located in a convenience location with restaurants and shops, quick access to the freeway. It has most of the Asian produce and products with some amazing weekly discounts/deals. The store is organized but has sales items all throughout the store, making it feels and looks messy. Food court also includes a bakery and many different food options. I didn’t eat there, but they were busy. Weekly specials are great buys, items were new and fresh, unlike some stores has the almost expired items on sale! Staff are friendly and remind customers of super deals. During my visits, I saw people buying by the dozen on the sale items. It can keep the place cleaner to attract customers.; Very nice people! Very clean store looking for something you're only going to find in an Asian market this is the place to go; It's your typical Asian Supermarket.
They do have lots of live seafood. The price are usually good value.; Has a lot of groceries, fresh meats, veggies, spices and sauces. Good selection of asian snacks and instant noodles too. There are a couple small stall/shops inside as well, one selling electrodomestics and the other selling fried snacks (I think it's currently closed due to covid). Theres also a cooked food/deli and a small bakery section. Never had an issue here."
168 Market,"17120 Colima Rd, Hacienda Heights, CA 91745, USA",4.1,688,,(626) 839-8168,+1 626-839-8168,http://www.168markets.com/,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,,OPERATIONAL,"17120 Colima Road, Hacienda Heights",8554X3Q8+X4,17120 (street_number); Colima Road (route); Hacienda Heights (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91745 (postal_code); 6768 (postal_code_suffix),"Very shocked and disappointed!
We had party on last Sunday, and I went to 168 market bought 3 box fresh young coconut for my friends.

And when we opened box was shocked! I can’t believe the conditions of 168 Market fruits.

I was glad service center’s attitude was nice and returned fast. I asked why don’t you guys check it before selling it. They told me: we won’t know until open it”

No comment no judgment, please see pictures below and be careful with their fruits.; They have ample variety of Asian goods. Price is reasonable. The store as a whole is clean. The staff are good -some friendlier than others but overall good. I love their hotfood area and bakery. Bought their cakes several times for birthday celebrations. The cakes are reasonably priced and taste very good and light. Bought the mango cake with fresh fruits on top.; One stop of a grocery shopping  place , 168 super market provides me with conveniences and affordability . It has a variety of Asian products as well as daily necessities .  I love to shop in its vegetable sections that are full of fresh Asian  fruits and vegetables . It also has a unique food court that offers Chinese breakfast and a lunch menu  . It has a bakery department that provides cakes , sweet treats and bread . Compared with other super markets ,  I enjoy its reasonable product prices . 168 Super market is my favorite super market .; The market is a bit dingy and underlit. It doesn't offer a lot of things, just the basic necessities. It is located in an affluent neighborhood but it doesn't live up to expectations. And the food is decent at best.; The BOGO deals are a great catch and the fruit is really fresh.
The only downside is that some of the meat for hotpot doesn't look as fresh as it seems."
Centro Ahorros Rivera,"C9C3+9M4, PR-638, Arecibo, 00616, Puerto Rico",3.3,3,,,,,,,CLOSED_PERMANENTLY,"C9C3+9M4, Puerto Rico 638, Arecibo",,C9C3+9M4 (plus_code); Puerto Rico 638 (route); Arecibo (locality); Miraflores (administrative_area_level_2); Arecibo (administrative_area_level_1); Puerto Rico (country); 00616 (postal_code),"Closed operations due to damage caused by Hurricane María September 20, 2018; ; "
Fry's Marketplace,"1455 N Higley Rd, Gilbert, AZ 85234, USA",4.4,1041,,(480) 428-7180,+1 480-428-7180,https://www.frysfood.com/stores/grocery/az/gilbert/frys-marketplace-gilbert/660/00615?cid=loc_66000615_gmb,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 6:00 AM – 11:00 PM; Sunday: 6:00 AM – 11:00 PM,,OPERATIONAL,"1455 North Higley Road, Gilbert",855C97GH+MR,1455 (street_number); North Higley Road (route); Gilbert (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85234 (postal_code),"While out running errands I drove by this Fry’s and decided to stop in as I needed to get done Diet Coke. Of course I ended up shopping far longer than I intended to as I need to check out this store lol.

I really don’t understand the negative reviews as this store has everything and so many specialty sections. They even sell clothes and shoes! I didn’t browse those sections as I’m sure I’m not going to find clothes that suit my taste in a grocery store, but still kinda impressive.

I loved they had an olives and anti pasta bar for $9.99/pound. Ended up buying for some hubby!

One cool thing that I have never seen is their cooler section with all kinds of different drinks. It has pictures and prices of all the drinks inside. How creative and cool is that!!

They also have a sushi bar with lots of rolls for $6. I have tried their sushi and really don’t have any desire to try again but it’s convenient. The cheese section is vast and if you’re a cheese lover, you’ll be in heaven! They also have a huge kitchen section with gadgets, dishes, bowls, and appliances. Again, a very convenient one stop store.

I was puzzled why the store was so crowded until another shopper told me it was senior citizens day. If you’re over 55 years of age, you get an additional 10 percent off your groceries! I was told it’s on the first Wednesday of each month. Great info as it applies to any sale items too.

If I’m in the area, I’d definitely stop in again.; Not my favorite store considering most of what they sell is from all of the horrible corporations that produce unhealthy foods laced with drug science which gets us addicted & sick.  Not a conspiracy anymore, now it’s becoming more of our collective common knowledge.  The people who work here are great people.  Don’t get me wrong.  They have great customer service and some decent prices.; Poor customer service, we bagged our groceries while employees just stood around. The cashier didn’t even say hello as we unloaded our groceries. I hope Publix comes to the valley.; Great Management and staff. I do online orders both for Fry's and instacart so I'm in the store daily , I'm impressed w/how clean this location always is and how much the employees and managers are always offering me help when I need it. SO appreciated !; This is my neighborhood fry’s. I’ve been shopping here since they opened a few years ago. I spend $1k on groceries here each month & i will no longer be shopping here.

This store has terrible management & the absolute worst customer service I have ever experienced anywhere! The employees are rude & sometimes mean. The only people working here who have ever been friendly to me are the deli and cheese counter. While I could spend way too much time elaborating on each negative experience I’ve had on every occasion in this store, I’ll spare you & make a couple suggestions.

1) do not work here!!! You can tell the employees are miserable & mistreated.

2) do not shop here. There’s a fry’s on power/ baseline, recker/williams field, & a new location opening at Elliot/power, as well as a Safeway & sprouts across the street. Avoid this store!!!! It’s really the worst & it is a shame."
Mercado El Rey Lake Forest,"23532 El Toro Rd #7, Lake Forest, CA 92630, USA",4.2,362,,(949) 380-0021,+1 949-380-0021,,Monday: 7:00 AM – 9:00 PM; Tuesday: 5:00 AM – 9:00 PM; Wednesday: 7:00 AM – 9:00 PM; Thursday: 7:00 AM – 9:00 PM; Friday: 7:00 AM – 9:00 PM; Saturday: 7:00 AM – 9:00 PM; Sunday: 7:00 AM – 9:00 PM,,OPERATIONAL,"23532 El Toro Road #7, Lake Forest",8554J8C2+2F,7 (subpremise); 23532 (street_number); El Toro Road (route); Lake Forest (locality); Orange County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 92630 (postal_code); 4703 (postal_code_suffix),"Very good Mercado, very clean and organized. They have a large selection of vegetable, fruit, dairy, meat and canned food. They have an ice cream and juice bar plus they have churro. Their churro is very delicious and they have a special 2 for $1 deal. Their prices are very reasonable compare to other Mercado. I will definitely go back.; Cool little Mexican Market, well… not so little lol. They have just about everything you’ll need. From different types of meat, to detergent, to Mexican candies, and fruits.

The shop looks clean and well organized. The staff was nice, at least the cashiers were.

We came here just to check the place out. It was recommended by a friend of ours. No complaints, it was a cool find here in Lake Forest.

Bought a watermelon, and some Mexican candies lol.; So here is the deal.   I am half afraid to share this because this place is a gem 💎!    I can buy wonder marinated meats.. ceviche.. dairy.. chicharron.. and a bunch of produce and hit only $80.   Sometimes $70 and sometimes $50.    They have a smoothie bar that’s probably the best one around…. As the produce is right there,   The fresh produce looks better and is ripe and great looking and better than Bristol farms or whole paycheck.   It’s a fast shopping store with a fresh hot food to go as well - and it’s aaaahmazing!!   do not expect big grocery carts here.   It’s fresh ripe food that you eat this week or in the next few days.   I truly love this shop as it’s perfect for me by myself and even better when there were more of us.   Just for reference they had beautifully RIPE RED SWEET SMELLING strawberries for under $3 a pack,  like RIPE RED strawberries- not those white topped unripe hard bland berries like at a regular store.  Really.   Even the butcher shop is really really awesome.  It is not the same as a big grocery store chain but everything has been fantastic.   I don’t speak Spanish but every single person there has been great and it’s nice to shop in a place without having to listen to the obnoxious thinly veiled racism from other customers directed at others.   Bravo to this store.   You could in fact get all your weekly groceries here just fine.   I mostly do -  ⭐️⭐️⭐️⭐️⭐️; Love the meat market and vegetables etc lots of stuff from my country.; They really need to work on keeping their floors clean, couldn’t push the store cart with out getting stuck with what was on the floor. Trip hazard, customers can slip or trip over boxes they leave on the floor! Terrible!"
The Market at Laughlin,"3100 Needles Hwy, Laughlin, NV 89029, USA",4.5,420,,(702) 709-5309,+1 702-709-5309,https://mymarketstores.com/laughlin/,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,,OPERATIONAL,"3100 Needles Highway, Laughlin",857749RH+94,3100 (street_number); Needles Highway (route); Laughlin (locality); Clark County (administrative_area_level_2); Nevada (administrative_area_level_1); United States (country); 89029 (postal_code),"The is a great place for quick things you left off your list at the grocery store. Careful with the cakes slices in the case though. I bought 2 of them at $6 each and they were stale and hard. Had to throw them out. Went back with my receipt and they wouldn't refund or replace unless I brought the cake back. Lesson learned.

Update:  That was a great owner reaction.  I just moved here and am not used to having someone from the business actually care about making it a better experience.  Thank you.  I don't need anything to make it better but fresh cake for next time.    It looked  incredible.  I look forward to trying it again.

Also, you are the only store around here that I've found so far who carries my favorite coffee.  Community breakfast blend.  Everyone should try it so you keep it in stock.; The staff at the Market in Laughlin are always helpful and friendly. I am very thankful to have such a nice store close to home.; Nice clean store. The staff is friendly. Glad it’s so close to home; this town became an absolute food desert without a viable local market so I'm willing to pay more to support the market; I can't complain about this place even if I wanted to. The staff is always friendly, the store is always clean and there's plenty of parking. Some items are a little bit pricey, but that is to be expected from a neighborhood grocery store. I'm happy that they reopened the store and I hope they stay forever."
