Name,Address,Rating,User Ratings Total,Place ID,Phone Number,International Phone Number,Website,Opening Hours,Price Level,Business Status,Vicinity,Plus Code,Address Components,Reviews
The Vape Store CBD & More,"12751 W Bell Rd suit 125, Surprise, AZ 85378, USA",4.2,26,,(623) 440-5276,+1 623-440-5276,,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: Closed,,OPERATIONAL,"12751 West Bell Road suit 125, Surprise",8559JMP8+W6,suit 125 (subpremise); 12751 (street_number); West Bell Road (route); Surprise Original Townsite (neighborhood); Surprise (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85378 (postal_code),"This is my favorite vape store in Surprise AZ because it's the cheapest! Great service.; I had called about a week ago to inquire about a certain brand and flavors I always use. I was asked a few questions by the man that answered the phone and then he said he would order and have in a few days. He said that new customers get a discount that would make my selections $12 a bottle for 60ml. I went in today and they guy there said none of that was true. He was not rude he was very polite but at 17 a bottle I won’t be going there again since the man I had spoke to had clearly told me a certain price and no one seemed to know what I was talking about.; Amazing service very nice lady that I had spoke to 10/10; Short back story......... I have used e-cigs from 2007, I have always bought my supplies online.  The particular products I use are much harder to find online.

I went into this place to see the latest products in person, I was acknowledged Immediately by Dylan.  He was so patient with me, explaining all the latest products and taking the time to help me find the right es device for me.  I can’t say enough about Dylan and this shop.
I highly recommend this place if you are looking for your Vape needs.  They also have a huge array of Vape juice and CBD.
You will not be disappointed.  The products, knowledge and Great Customer Service are the reasons I will continue to shop here.; By far the worst customer service hands down.  Whomever “helped” me all he said was 1 to 2 word answers, and spoke so quietly I could barely understand his yes and no’s.  Was glad to find a shop closer to my address to save time.  Next time I need any vape juices I’ll definitely drive the extra mile west to another shop.  Bout the only good thing was the price, other than that it’s about it"
VapeJuiceDepot,"555 Riverdale Dr D, Glendale, CA 91204, USA",4.3,398,,(424) 777-9098,+1 424-777-9098,https://vapejuicedepot.com/,Monday: 10:00 AM – 5:00 PM; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 10:00 AM – 5:00 PM; Thursday: 10:00 AM – 5:00 PM; Friday: 10:00 AM – 5:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed,,OPERATIONAL,"555 Riverdale Drive D, Glendale",85634PQM+M6,D (subpremise); 555 (street_number); Riverdale Drive (route); Pacific - Edison (neighborhood); Glendale (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91204 (postal_code),"This was always my place to order. Not sure what’s going on now. Ordered 10 bottles of juice. One was ok to use. The others are dark amber, taste peppery and seem off.
I added a photo of what I usually get and what I was sent.

I emailed twice and no response. Shame, seems a lot of the negative reviews are feeling the drop in service.

Edit. Order #414521; I ordered from them many times in the past! This time I ordered and it has sat there with label created for 5 days now! Reached out and they said the post office has lost package and now they are out of stuff I ordered! I got a full refund! I do understand what everyone says about being able to contact them, it is hard to get them to respond to email timely! They really should have a number you can call; Initially, I had thought that this place was a walk-up store, so I showed up and tried to go inside, but the place is an office, apparently, and it was locked. I contacted customer service about this, and they got back to me, eventually, telling me that they do mail order only, which ends up being okay; I was just hoping to get a deal on a Geek Bar, but I ended up going to another shop in town, where I was able to get a good price on a Geek Bar.; have been ordering from vjd for a couple of years with no problems and great customer service, but things have obviously changed with this company. placed an order from them 8 days ago and received the tracking# the same day. when I track my order, all I get is ""acceptance pending"". tried numerous times to contact customer service for some help with this issue and to try and find out what the problem is, but no response. used to be a legit company. customer service is a joke! and I am out $100!; I'm dealing with similar issues to VJD's recent reviews. I've ordered from them in the past and the experience was great, but not this time.
I placed an order 9 days ago and received tracking information, and the status hasn't updated since. I reached out to the company and got a response the next day saying it may have been misplaced at the ""courier's facility"" and that it would be reshipped. About an hour later, I got a message saying part of my order was refunded, but still no tracking updates.
Cut to today (3 days later) and there still hasn't been any movement on the shipment, and my last email remains unresponded to. The shipping reference number they included in their initial response was the same as the first tracking number I had received, which is weird because they said they were reshipping it, so I have no idea what's going on. I've tried calling their local number and still haven't gotten any help."
Mi-Pod (Mi-One Brands),"4908 E McDowell Rd, Phoenix, AZ 85008, USA",3.5,163,,(800) 768-9982,+1 800-768-9982,http://www.mipod.com/,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,,OPERATIONAL,"4908 East McDowell Road, Phoenix",855CF28F+PM,4908 (street_number); East McDowell Road (route); Camelback East Village (neighborhood); Phoenix (locality); Maricopa County (administrative_area_level_2); Arizona (administrative_area_level_1); United States (country); 85008 (postal_code),"I'm local. Love that I  can pop in and get their products the same day! The employees in phx are awesome. Been using the Mi-pod 2.0+ for 6mo. Best device yet that helped me finally quit smoking! That and the Mad Hatter, I love salts; classic tobacco!; I did business with these people for quite sometime. They don’t stand by their word. They sell expired vapes, and they don’t refund you for what don’t sell like they promise. I’d never do business w them again!; Orders take up to 18 BUSINESS days to arrive. Nowhere on the site was that info relayed. Expectations were definitely changed since I was unaware. I truly believe somewhere on the website it should give the timeline. Having a generic ""ship within 48 hours,"" gives an illusion of receiving products within a week or so.; I bought a MiPod pro at a little shop in Fresno. Cartridges are lasting 3-5 weeks before needing replacement and I'm using 1/6th of the juice I was prior & completely quit tobacco. Horrified that it took so long to find your brand. Love it.  Just wish you shipped to Indiana.; Been ordering for awhile from mipod, but not anymore. My last order I had enough points for a $15 discount so I used it and 24hrs later my order was cancelled so I called to find out why because there was nothing in the email stating why it was cancelled and they said it was a fraudulent purchase and now my points are gone. I tried reordering and the points were gone, they were consistent enough to flag that one as fraudulent as well. Pretty strange that my orders all went through fine when I didn’t use points. All orders were on the same card delivering to the same address. There’s better retailers out there that actually will let you use the points you accrue, I’d suggest looking for them and are quite cheaper."
Eightvape,"3010 E Alexander Rd #1002, North Las Vegas, NV 89030, USA",5,2,,,,https://www.eightvape.com/pages/shipping,,,OPERATIONAL,"3010 East Alexander Road #1002, North Las Vegas",85866VMR+8V,1002 (subpremise); 3010 (street_number); East Alexander Road (route); North Las Vegas (locality); Clark County (administrative_area_level_2); Nevada (administrative_area_level_1); United States (country); 89030 (postal_code),"I've ordered vape products from these guys twice and never got anything but excellent service. Both times I've ordered smock acro pods. Excellent pricing and my orders were here within 5 days.; This is for pickups only. Also, not a tobacco ANYTHING. It's exclusively a vape shop. The cheapest vape products available for same day pickup in the state! Easy, effortless business. Great, genuine, and the absolute cheapest vape products. They're the only place that gets my business now."
LA VAPOR INC | Wholesale | Electronic Cigarettes,"1305 John Reed Ct, City of Industry, CA 91745, USA",4.5,17,,(626) 940-5677,+1 626-940-5677,https://www.lavaporwholesale.com/?utm_source=google&utm_medium=gmb&utm_campaign=city%20of%20industry,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,,OPERATIONAL,"1305 John Reed Court, City of Industry",85642325+CF,1305 (street_number); John Reed Court (route); City of Industry (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91745 (postal_code); 2407 (postal_code_suffix),"I have been purchasing much of our hardware from LA Vapor for many years.  They do a great job.  I have had no issue with product missing like I do with many other wholesalers.  They ship out either the same day or next day so packages arrive on time.  I personally deal with BJ and he is quite thorough and takes care of anything we need when we are running low on hardware.  They also carry many items that other wholesalers do not which is great.  These guys are a 5 star all day.  Thanks.; We love LA Vapor! We are in the midwest so shipping usually takes a week. Customer service is awesome. We've only had 1 order from them where the wrong item was sent but they remedied the situation with a solution that we were both pleased with. I didn't have to send back the incorrect item which was awesome. They made the whole process hassle free. If you're looking for a supplier for vape kits and accessories, give them a chance! I noticed they are expanding their inventory to include glass so head shops can benefit from shopping here as well.; Love the products and customer service is always A+. They always got the good deals!; We Love LA Vapor. We Celebrate 5 years in business this month and they've been our Main supplier since our doors opened. Customer service is next to none, they consistently carry the latest and greatest and the at the same time they show support for older devices and coils. They'll Match competition prices but I can Guarantee you wont find better pricing. If your not ordering with LA Vapor you are not doing it right.; Buyer beware!
Normally I don’t write reviews but this is unacceptable. 90% of my order was never shipped, I did not receive any notifications what so ever of it being out of stock, nor did I receive any form of refund. They even charged me for my second order without having the products in stock, and never credited my previous order. It seems like this company just takes your money knowing they don’t have the items in stock.
Never had an issue with Juice Supply Company."
Vapor Devils - Vape and CBD,"500 N Azusa Ave #111, West Covina, CA 91791, USA",4.6,134,,(626) 859-7777,+1 626-859-7777,https://vapordevils.online/,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 8:00 PM,,OPERATIONAL,"500 North Azusa Avenue #111, West Covina",856433HV+P3,111 (subpremise); 500 (street_number); North Azusa Avenue (route); West Covina (locality); Los Angeles County (administrative_area_level_2); California (administrative_area_level_1); United States (country); 91791 (postal_code),"The best brands of #CBD , #mushroom and Delta products with lab reports at this business. Excellent service and one stop shop for all your vape needs. Most selection of coils and pods for all kinds of devices. A real vape shop and voted #1 vape store in San Gabriel valley for last 7 years; Very friendly and knowledgeable staff. We were visiting from Oregon and they answered all our questions and had exactly what we were looking for.; Best Vaping shop ever, been coming here since what feels like a decade, very friendly atmosphere chill vibes; Fantastic, ma and pa business where the owner actually cares about the clients and has been in the business for so long that you would never find a more knowledgeable person to help you make the right decision on hardware as well as oil that he steeps in house customized for each customer.; My only vape shop I go too now!!! The people here are so nice and helpful!!! If you have any problems or just need help learning come check them out!!"
La Isla Vapor & Smoke Shop,"183 Belt Rd, Aguadilla, 00603, Puerto Rico",4.9,163,,(787) 940-0010,+1 787-940-0010,,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 5:00 PM,,OPERATIONAL,"183 Belt Road, Aguadilla",77CJGV27+HJ,183 (street_number); Belt Road (route); Aguadilla (locality); Maleza Baja (administrative_area_level_2); Aguadilla (administrative_area_level_1); Puerto Rico (country); 00603 (postal_code),"Very clean store, well organized, quick service and the kratom purchased was fresh and effective. Thank you; Super chill guy behind the register, great atmosphere  and amazing product deff a go to for your needs; Nice shop with a lot of products and nice staff.; Derek was super chill. Im new to the island and was looking for some new flavors for my vape. Found my new favorite. Coastal Clouds Blueberry Banana Muffin. Thanks Derek! You're the man! Will be returning soon.; Wow !!!! Super impressed by everything. They had all the new hot juice that’s out. Which is a plus for me because I’m a sucker for quality new new.

The place was clean, everyone was nice, and knowledgeable about products. Most definitely a regular.... definitely hard to find a ship like this out here."
HALAL SMOKE SHOP,"Carr 107 km 2.2, Borinquen, Aguadilla 00603, Puerto Rico",4.5,11,,(787) 819-4419,+1 787-819-4419,,,,CLOSED_TEMPORARILY,"Carr 107 km 2.2, Borinquen",77CJFR6W+QG,Borinquen (locality); Borinquen (administrative_area_level_2); Aguadilla (administrative_area_level_1); Puerto Rico (country); 00603 (postal_code),Great customer service.; Very helpful good products; Friendly staff and service; Great smoke shop; I love it. The products are great and the service is spectacular. Good prices and variety.
Convenience Smoke Shop,"205 C. Progreso, Aguadilla, 00603, Puerto Rico",4.2,5,,(787) 237-0441,+1 787-237-0441,,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,,OPERATIONAL,"205 Calle Progreso, Aguadilla",77CJCR9W+C9,205 (street_number); Calle Progreso (route); Aguadilla Pueblo (sublocality_level_1); Aguadilla (locality); Higüey (administrative_area_level_3); Aguadilla (administrative_area_level_2); Aguadilla (administrative_area_level_1); Puerto Rico (country); 00603 (postal_code),"Great shop for your Vaping needs. And you can pick up liquor and beers. Prices are ok for the area.; Nice small smoke and drink shop. Super friendly staff and well priced. They also have many hard to find items such as american spirit cigarettes and high-end liquors.; Employees absent or on the phone. Would not recommend, have been at least 3 times and all bad; Very clean. Very helpful and pleasant owner's. AC !!.; "
SMOKE CITY,"CVV5+R82, PR-459, Aguadilla, 00603, Puerto Rico",4.5,41,,(787) 891-5203,+1 787-891-5203,,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: Closed,,OPERATIONAL,"CVV5+R82, Puerto Rico 459, Aguadilla",,CVV5+R82 (plus_code); Puerto Rico 459 (route); Cabán (neighborhood); Aguadilla (locality); Corrales (administrative_area_level_2); Aguadilla (administrative_area_level_1); Puerto Rico (country); 00603 (postal_code),"They are often out of american spirits, and sometimes no one is there or other customers are there and you have to wait.; Happy with the products and the employees are very nice and helpful; Cool lil place. Has good selection of smoking essentials.; Nice selection and great help from the employees.; They have everything you need. Vapes, CBD, tobacco... Great place"
